"rgn_id","n_fisc","resilience_score"
"12401",0,0
"12201",0,0
"12101",0,0
"11201",16,0.0358744394618834
"11303",0,0
"11202",0,0
"10208",100,0.224215246636771
"05201",0,0
"05104",0,0
"10401",0,0
"02104",104,0.233183856502242
"12103",0,0
"01101",82,0.183856502242152
"02101",8,0.0179372197309417
"11203",1,0.00224215246636771
"02301",2,0.00448430493273543
"03102",45,0.100896860986547
"12303",0,0
"12302",0,0
"12301",0,0
"02102",0,0
"08207",0,0
"01404",1,0.00224215246636771
"04301",178,0.399103139013453
"04104",446,1
"03303",67,0.150224215246637
"12104",0,0
"03304",73,0.163677130044843
"03201",33,0.0739910313901345
"10202",36,0.0807174887892377
"04102",346,0.775784753363229
"10209",1,0.00224215246636771
"07102",12,0.0269058295964126
"04202",71,0.159192825112108
"09102",0,0
"04203",263,0.589686098654709
"10403",22,0.0493273542600897
"15101",0,0
"10306",0,0
"10207",16,0.0358744394618834
"04101",116,0.260089686098655
"10102",6,0.0134529147982063
"08102",186,0.417040358744395
"08201",11,0.0246636771300448
"05606",39,0.0874439461883408
"15102",0,0
"08202",65,0.145739910313901
"06201",115,0.257847533632287
"10203",28,0.062780269058296
"16202",2,0.00448430493273543
"10108",46,0.103139013452915
"03101",11,0.0246636771300448
"10205",6,0.0134529147982063
"10210",0,0
"07203",164,0.367713004484305
"09117",0,0
"14106",68,0.152466367713004
"08203",0,0
"10303",2,0.00448430493273543
"14101",292,0.654708520179372
"05401",137,0.307174887892377
"08111",67,0.150224215246637
"10106",19,0.0426008968609865
"14102",254,0.569506726457399
"10104",8,0.0179372197309417
"08106",2,0.00448430493273543
"14201",0,0
"08108",0,0
"10101",24,0.0538116591928251
"09116",0,0
"07309",28,0.062780269058296
"07202",27,0.0605381165919283
"06205",40,0.0896860986547085
"10305",0,0
"07103",3,0.00672645739910314
"08112",0,0
"05105",241,0.540358744394619
"05107",91,0.204035874439462
"05101",15,0.0336322869955157
"09118",8,0.0179372197309417
"06206",0,0
"05405",123,0.275784753363229
"10201",57,0.12780269058296
"08110",5,0.0112107623318386
"05109",4,0.00896860986547085
"05102",37,0.0829596412556054
"06203",9,0.0201793721973094
"05403",54,0.121076233183857
"05602",292,0.654708520179372
"07303",21,0.047085201793722
"05605",35,0.07847533632287
"08107",0,0
"05604",105,0.23542600896861
"16203",0,0
"05601",29,0.0650224215246637
"12102",0,0
"10103",0,0
"10206",0,0
"08206",0,0
"12402",0,0
"05103",2,0.00448430493273543
"05603",50,0.112107623318386
"16207",0,0
"10204",0,0
"10109",0,0
