"region_id","score","dimension","goal"
1101,88.2400095908747,"status","FIS"
1404,88.2400095908747,"status","FIS"
2101,88.2400095908747,"status","FIS"
2102,88.2400095908747,"status","FIS"
2104,88.2400095908747,"status","FIS"
2301,88.2400095908747,"status","FIS"
3101,88.2400095908747,"status","FIS"
3102,88.2400095908747,"status","FIS"
3201,88.2400095908747,"status","FIS"
3303,88.2400095908747,"status","FIS"
3304,88.2400095908747,"status","FIS"
4101,80.1299566060079,"status","FIS"
4102,80.1299566060079,"status","FIS"
4104,80.1299566060079,"status","FIS"
4202,80.1299566060079,"status","FIS"
4203,80.1299566060079,"status","FIS"
4301,80.1299566060079,"status","FIS"
5101,80.1299566060079,"status","FIS"
5102,80.1299566060079,"status","FIS"
5103,80.1299566060079,"status","FIS"
5104,80.1299566060079,"status","FIS"
5105,80.1299566060079,"status","FIS"
5107,80.1299566060079,"status","FIS"
5109,80.1299566060079,"status","FIS"
5201,80.1299566060079,"status","FIS"
5401,80.1299566060079,"status","FIS"
5403,80.1299566060079,"status","FIS"
5405,80.1299566060079,"status","FIS"
5601,80.1299566060079,"status","FIS"
5602,80.1299566060079,"status","FIS"
5603,80.1299566060079,"status","FIS"
5604,80.1299566060079,"status","FIS"
5605,80.1299566060079,"status","FIS"
5606,80.1299566060079,"status","FIS"
6201,80.9730057750801,"status","FIS"
6203,80.9730057750801,"status","FIS"
6205,80.9730057750801,"status","FIS"
6206,80.9730057750801,"status","FIS"
7102,80.9730057750801,"status","FIS"
7103,80.9730057750801,"status","FIS"
7202,80.9730057750801,"status","FIS"
7203,80.9730057750801,"status","FIS"
7303,80.9730057750801,"status","FIS"
7309,80.9730057750801,"status","FIS"
8102,80.9730057750801,"status","FIS"
8106,80.9730057750801,"status","FIS"
8107,80.9730057750801,"status","FIS"
8108,80.9730057750801,"status","FIS"
8110,80.9730057750801,"status","FIS"
8111,80.9730057750801,"status","FIS"
8112,80.9730057750801,"status","FIS"
8201,80.9730057750801,"status","FIS"
8202,80.9730057750801,"status","FIS"
8203,80.9730057750801,"status","FIS"
8206,80.9730057750801,"status","FIS"
8207,80.9730057750801,"status","FIS"
9102,67.3790535732061,"status","FIS"
9116,67.3790535732061,"status","FIS"
9117,100,"status","FIS"
9118,67.3790535732061,"status","FIS"
10101,67.3790535732061,"status","FIS"
10102,67.3790535732061,"status","FIS"
10103,67.3790535732061,"status","FIS"
10104,67.3790535732061,"status","FIS"
10106,67.3790535732061,"status","FIS"
10108,67.3790535732061,"status","FIS"
10109,67.3790535732061,"status","FIS"
10201,67.3790535732061,"status","FIS"
10202,67.3790535732061,"status","FIS"
10203,67.3790535732061,"status","FIS"
10204,67.3790535732061,"status","FIS"
10205,67.3790535732061,"status","FIS"
10206,67.3790535732061,"status","FIS"
10207,67.3790535732061,"status","FIS"
10208,67.3790535732061,"status","FIS"
10209,67.3790535732061,"status","FIS"
10210,67.3790535732061,"status","FIS"
10303,67.3790535732061,"status","FIS"
10305,67.3790535732061,"status","FIS"
10306,67.3790535732061,"status","FIS"
10401,67.3790535732061,"status","FIS"
10403,67.3790535732061,"status","FIS"
11201,62.2512310186271,"status","FIS"
11202,62.2512310186271,"status","FIS"
11203,62.2512310186271,"status","FIS"
11303,62.2512310186271,"status","FIS"
12101,62.2512310186271,"status","FIS"
12102,100,"status","FIS"
12103,62.2512310186271,"status","FIS"
12104,100,"status","FIS"
12201,62.2512310186271,"status","FIS"
12301,62.2512310186271,"status","FIS"
12302,100,"status","FIS"
12303,100,"status","FIS"
12401,62.2512310186271,"status","FIS"
12402,100,"status","FIS"
14101,67.3790535732061,"status","FIS"
14102,67.3790535732061,"status","FIS"
14106,67.3790535732061,"status","FIS"
14201,67.3790535732061,"status","FIS"
15101,88.2400095908747,"status","FIS"
15102,88.2400095908747,"status","FIS"
16202,80.9730057750801,"status","FIS"
16203,80.9730057750801,"status","FIS"
16207,100,"status","FIS"
1101,0.0632,"trend","FIS"
1404,0.0632,"trend","FIS"
2101,0.0632,"trend","FIS"
2102,0.0632,"trend","FIS"
2104,0.0632,"trend","FIS"
2301,0.0632,"trend","FIS"
3101,0.0632,"trend","FIS"
3102,0.0632,"trend","FIS"
3201,0.0632,"trend","FIS"
3303,0.0632,"trend","FIS"
3304,0.0632,"trend","FIS"
4101,0.2968,"trend","FIS"
4102,0.2968,"trend","FIS"
4104,0.2968,"trend","FIS"
4202,0.2968,"trend","FIS"
4203,0.2968,"trend","FIS"
4301,0.2968,"trend","FIS"
5101,0.2968,"trend","FIS"
5102,0.2968,"trend","FIS"
5103,0.2968,"trend","FIS"
5104,0.2968,"trend","FIS"
5105,0.2968,"trend","FIS"
5107,0.2968,"trend","FIS"
5109,0.2968,"trend","FIS"
5201,0.2968,"trend","FIS"
5401,0.2968,"trend","FIS"
5403,0.2968,"trend","FIS"
5405,0.2968,"trend","FIS"
5601,0.2968,"trend","FIS"
5602,0.2968,"trend","FIS"
5603,0.2968,"trend","FIS"
5604,0.2968,"trend","FIS"
5605,0.2968,"trend","FIS"
5606,0.2968,"trend","FIS"
6201,0.1568,"trend","FIS"
6203,0.1568,"trend","FIS"
6205,0.1568,"trend","FIS"
6206,0.1568,"trend","FIS"
7102,0.1568,"trend","FIS"
7103,0.1568,"trend","FIS"
7202,0.1568,"trend","FIS"
7203,0.1568,"trend","FIS"
7303,0.1568,"trend","FIS"
7309,0.1568,"trend","FIS"
8102,0.1568,"trend","FIS"
8106,0.1568,"trend","FIS"
8107,0.1568,"trend","FIS"
8108,0.1568,"trend","FIS"
8110,0.1568,"trend","FIS"
8111,0.1568,"trend","FIS"
8112,0.1568,"trend","FIS"
8201,0.1568,"trend","FIS"
8202,0.1568,"trend","FIS"
8203,0.1568,"trend","FIS"
8206,0.1568,"trend","FIS"
8207,0.1568,"trend","FIS"
9102,-0.0919,"trend","FIS"
9116,-0.0919,"trend","FIS"
9117,0,"trend","FIS"
9118,-0.0919,"trend","FIS"
10101,-0.0919,"trend","FIS"
10102,-0.0919,"trend","FIS"
10103,-0.0919,"trend","FIS"
10104,-0.0919,"trend","FIS"
10106,-0.0919,"trend","FIS"
10108,-0.0919,"trend","FIS"
10109,-0.0919,"trend","FIS"
10201,-0.0919,"trend","FIS"
10202,-0.0919,"trend","FIS"
10203,-0.0919,"trend","FIS"
10204,-0.0919,"trend","FIS"
10205,-0.0919,"trend","FIS"
10206,-0.0919,"trend","FIS"
10207,-0.0919,"trend","FIS"
10208,-0.0919,"trend","FIS"
10209,-0.0919,"trend","FIS"
10210,-0.0919,"trend","FIS"
10303,-0.0919,"trend","FIS"
10305,-0.0919,"trend","FIS"
10306,-0.0919,"trend","FIS"
10401,-0.0919,"trend","FIS"
10403,-0.0919,"trend","FIS"
11201,0.3489,"trend","FIS"
11202,0.3489,"trend","FIS"
11203,0.3489,"trend","FIS"
11303,0.3489,"trend","FIS"
12101,0.3489,"trend","FIS"
12102,0,"trend","FIS"
12103,0.3489,"trend","FIS"
12104,0,"trend","FIS"
12201,0.3489,"trend","FIS"
12301,0.3489,"trend","FIS"
12302,0,"trend","FIS"
12303,0,"trend","FIS"
12401,0.3489,"trend","FIS"
12402,0,"trend","FIS"
14101,-0.0919,"trend","FIS"
14102,-0.0919,"trend","FIS"
14106,-0.0919,"trend","FIS"
14201,-0.0919,"trend","FIS"
15101,0.0632,"trend","FIS"
15102,0.0632,"trend","FIS"
16202,0.1568,"trend","FIS"
16203,0.1568,"trend","FIS"
16207,0,"trend","FIS"
