"rgn_id","n_proyectos","resilience_score"
"05405",12,0.923076923076923
"05109",12,0.923076923076923
"07309",12,0.923076923076923
"05101",12,0.923076923076923
"14101",11,0.846153846153846
"16207",11,0.846153846153846
"11303",8,0.615384615384615
"12402",9,0.692307692307692
"08111",13,1
"09118",11,0.846153846153846
"02301",10,0.769230769230769
"08207",13,1
"12303",9,0.692307692307692
"09117",11,0.846153846153846
"02104",10,0.769230769230769
"08110",13,1
"05606",12,0.923076923076923
"08108",13,1
"10306",13,1
"12104",9,0.692307692307692
"05601",12,0.923076923076923
"09116",11,0.846153846153846
"12103",9,0.692307692307692
"10305",13,1
"05107",12,0.923076923076923
"10210",13,1
"10209",13,1
"10208",13,1
"10207",13,1
"10303",13,1
"10206",13,1
"12101",9,0.692307692307692
"10109",13,1
"10101",13,1
"05105",12,0.923076923076923
"12302",9,0.692307692307692
"12301",9,0.692307692307692
"06201",12,0.923076923076923
"08107",13,1
"07203",12,0.923076923076923
"06206",12,0.923076923076923
"05403",12,0.923076923076923
"04301",10,0.769230769230769
"06205",12,0.923076923076923
"12401",9,0.692307692307692
"02102",10,0.769230769230769
"10108",13,1
"14106",11,0.846153846153846
"08106",13,1
"04203",10,0.769230769230769
"10106",13,1
"08206",13,1
"06203",12,0.923076923076923
"07303",12,0.923076923076923
"08201",13,1
"12102",9,0.692307692307692
"14201",11,0.846153846153846
"04101",10,0.769230769230769
"05401",12,0.923076923076923
"04104",10,0.769230769230769
"05104",12,0.923076923076923
"05201",12,0.923076923076923
"01101",11,0.846153846153846
"03304",10,0.769230769230769
"01404",11,0.846153846153846
"08112",13,1
"10403",13,1
"11203",8,0.615384615384615
"10104",13,1
"03303",10,0.769230769230769
"05605",12,0.923076923076923
"05604",12,0.923076923076923
"10205",13,1
"07103",12,0.923076923076923
"10204",13,1
"14102",11,0.846153846153846
"08102",13,1
"04102",10,0.769230769230769
"03101",10,0.769230769230769
"07102",12,0.923076923076923
"05103",12,0.923076923076923
"16203",11,0.846153846153846
"10103",13,1
"16202",11,0.846153846153846
"11202",8,0.615384615384615
"10203",13,1
"07202",12,0.923076923076923
"03201",10,0.769230769230769
"10401",13,1
"10201",13,1
"05102",12,0.923076923076923
"05603",12,0.923076923076923
"09102",11,0.846153846153846
"08203",13,1
"04202",10,0.769230769230769
"15102",11,0.846153846153846
"03102",10,0.769230769230769
"10102",13,1
"12201",9,0.692307692307692
"11201",8,0.615384615384615
"15101",11,0.846153846153846
"08202",13,1
"02101",10,0.769230769230769
"10202",13,1
"05602",12,0.923076923076923
