"rgn_id","pressure_score"
5602,0.122205221268915
10202,0.751638771358044
8202,0.979169415538333
15101,0.232495930185948
12201,0.279518725854969
10102,0.331147698419483
15102,0.0328817816644051
4202,1
9102,0.13629183769274
5603,0.0306466313467724
5102,0.102924105827654
10201,0.622087557788145
10401,0.0984437244883852
7202,0.318879770687836
10203,0.501039821996184
11202,0.019645971246456
16202,1
16203,0.531604015424792
5103,0.0873514596752443
7102,0.718361822847538
4102,1
8102,0.0259349599145289
10204,0.110135630313868
7103,0.269583159310902
10205,0.039945743425116
5604,0.0603174151470388
5605,0.261343361439515
3303,0.0247317278651784
3304,0.0118165388393024
5104,0.322873272083916
4104,0.224274634984244
5401,0.632690908484043
4101,1
8201,0.674399180679301
7303,0.566179770251682
6203,0.0298009929131362
10106,1
4203,1
8106,0.034579655738298
10108,1
12401,0.273124278958008
6205,0.27111055964736
4301,0.499623271833355
5403,0.170607419980197
6206,0.568846238365729
7203,1
8107,0.037687574875448
6201,1
12301,0.0776136620828229
12302,0.898627518288579
5105,0.889471223193777
10101,0.421725907583003
12101,0.428577150147332
10206,0.329904692697614
10208,0.0300033552900136
10210,0.0708876377392826
5107,0.504061398302142
12103,0.0338943788043887
9116,1
5601,0.0344100130867791
12104,1
8108,0.0286583291728919
5606,1
8110,0.0407564463404895
9117,1
12303,0.0518617255719097
8207,0.299408459618905
2301,0.00512336776638514
8111,0.250691643993556
16207,0.228494342143311
14101,0.015767224465201
5101,0.00970781549221062
7309,0.569571261981752
5109,0.0485313389110863
5405,0.134897963929087
