"rgn_id","resilience_score"
2101,1
2102,1
2104,1
2301,1
15101,0
15102,0
3102,1
3201,1
3101,1
3303,1
3304,1
11201,1
11202,1
11203,1
11303,1
8202,1
8203,1
8102,1
8112,1
8201,1
8206,1
8106,1
8107,1
8108,1
8110,1
8207,1
8111,1
4202,1
4102,1
4104,1
4101,1
4203,1
4301,1
9102,1
9116,1
9117,1
9118,1
10202,0
10102,0
10201,0
10401,0
10203,0
10103,0
10204,0
10205,0
10104,0
10403,0
10106,0
10108,0
10101,0
10109,0
10206,0
10303,0
10207,0
10208,0
10209,0
10210,0
10305,0
10306,0
14102,0
14201,0
14106,0
14101,0
12201,1
12102,1
12401,1
12301,1
12302,1
12101,1
12103,1
12104,1
12303,1
12402,1
7202,1
7102,1
7103,1
7303,1
7203,1
7309,1
16202,0
16203,0
16207,0
6203,1
6205,1
6206,1
6201,1
1404,1
1101,1
5602,1
5603,1
5102,1
5103,1
5604,1
5605,1
5401,1
5403,1
5105,1
5107,1
5601,1
5606,1
5101,1
5109,1
5405,1
5201,1
5104,1
