"rgn_id","habitat","punto_referencia"
1101,"Macrocystis",14
1101,"Marismas y humedales",1805
1101,"Pastos marinos",31043.0983208274
1404,"Macrocystis",15.650154960232
1404,"Marismas y humedales",236
2101,"Macrocystis",5.39269759447861
2101,"Marismas y humedales",3167
2102,"Macrocystis",54
2102,"Marismas y humedales",213
2102,"Pastos marinos",23799.3298542897
2104,"Macrocystis",88
2104,"Marismas y humedales",2186
2104,"Pastos marinos",19058.6729887842
2301,"Macrocystis",35.7222638105589
2301,"Marismas y humedales",370
2301,"Pastos marinos",192.205132347901
3101,"Macrocystis",5.04750090050471
3101,"Marismas y humedales",330
3102,"Macrocystis",16
3102,"Marismas y humedales",750
3102,"Pastos marinos",32168.1246524261
3201,"Macrocystis",7
3201,"Marismas y humedales",470
3303,"Macrocystis",8.91038377212094
3303,"Marismas y humedales",570
3303,"Pastos marinos",423.64620598744
3304,"Macrocystis",6.59877352685246
3304,"Marismas y humedales",1770
3304,"Pastos marinos",397.410866774799
4101,"Macrocystis",1.31317008333186
4101,"Marismas y humedales",3813
4102,"Macrocystis",17
4102,"Marismas y humedales",7550
4102,"Pastos marinos",6355.79789905779
4104,"Macrocystis",15
4104,"Marismas y humedales",699
4202,"Macrocystis",73
4202,"Marismas y humedales",8195
4202,"Pastos marinos",6729.47309401048
4203,"Macrocystis",83
4203,"Marismas y humedales",6470
4203,"Pastos marinos",2838.09570964421
4301,"Macrocystis",158
4301,"Marismas y humedales",15120
5101,"Macrocystis",5
5101,"Marismas y humedales",1096
5101,"Pastos marinos",7393.23551480456
5102,"Macrocystis",1
5102,"Marismas y humedales",977.333333333333
5102,"Pastos marinos",6537.44307673084
5103,"Marismas y humedales",240
5103,"Pastos marinos",1972.39210162775
5104,"Macrocystis",70.83
5104,"Marismas y humedales",33.5
5105,"Macrocystis",9
5105,"Marismas y humedales",1160
5105,"Pastos marinos",11036.4043310288
5107,"Macrocystis",36
5107,"Marismas y humedales",977
5107,"Pastos marinos",7749.87867760968
5109,"Macrocystis",3
5109,"Marismas y humedales",779
5109,"Pastos marinos",9405.75795914737
5201,"Macrocystis",27.75
5201,"Marismas y humedales",67.75
5401,"Macrocystis",10
5401,"Marismas y humedales",27
5403,"Macrocystis",1.46558810892053
5403,"Marismas y humedales",1788
5403,"Pastos marinos",4098.71242291777
5405,"Macrocystis",1
5405,"Marismas y humedales",870
5405,"Pastos marinos",7692.41054530424
5601,"Macrocystis",0.0917771666435801
5601,"Marismas y humedales",91
5602,"Macrocystis",12
5602,"Marismas y humedales",530
5602,"Pastos marinos",103.088930537744
5603,"Macrocystis",0.0458937090546417
5603,"Marismas y humedales",800
5604,"Macrocystis",0.0460250991252217
5604,"Marismas y humedales",263
5605,"Macrocystis",8
5605,"Marismas y humedales",932
5606,"Macrocystis",6
5606,"Marismas y humedales",1756
6201,"Macrocystis",14
6201,"Marismas y humedales",1294
6203,"Macrocystis",3
6203,"Marismas y humedales",622
6205,"Macrocystis",1.27980572685769
6205,"Marismas y humedales",1109
6206,"Macrocystis",1.166961367208
6206,"Marismas y humedales",418
7102,"Macrocystis",37
7102,"Marismas y humedales",1930
7102,"Pastos marinos",34.4398882864441
7103,"Macrocystis",1
7103,"Marismas y humedales",291
7202,"Macrocystis",3
7202,"Marismas y humedales",1225
7203,"Macrocystis",7.01603940557211
7203,"Marismas y humedales",996
7303,"Macrocystis",0.266356498498806
7303,"Marismas y humedales",379
7309,"Macrocystis",3.52950800950401
7309,"Marismas y humedales",990
8102,"Macrocystis",50.4948016650674
8102,"Marismas y humedales",1756
8106,"Macrocystis",10.1224247337817
8106,"Marismas y humedales",92
8106,"Pastos marinos",1650.84194170523
8107,"Macrocystis",48
8107,"Marismas y humedales",95
8108,"Macrocystis",0.0422416454166854
8108,"Marismas y humedales",225
8110,"Macrocystis",6.20677991795228
8110,"Marismas y humedales",365
8111,"Macrocystis",21
8111,"Marismas y humedales",669
8112,"Macrocystis",7.05938000885382
8112,"Marismas y humedales",232
8201,"Macrocystis",47.3802197871277
8201,"Marismas y humedales",1127
8202,"Macrocystis",39.175993935417
8202,"Marismas y humedales",1160
8202,"Pastos marinos",17123.7055357177
8203,"Macrocystis",0.451186437514886
8203,"Marismas y humedales",670
8206,"Macrocystis",0.0411813586509462
8206,"Marismas y humedales",185
8207,"Macrocystis",15.4652916654142
8207,"Marismas y humedales",1047
9102,"Macrocystis",30
9102,"Marismas y humedales",151
9102,"Pastos marinos",2563.78006573263
9116,"Macrocystis",33
9116,"Marismas y humedales",91
9116,"Pastos marinos",608.928232033468
9117,"Macrocystis",20
9117,"Marismas y humedales",256
9117,"Pastos marinos",48.0192336552387
9118,"Macrocystis",23
9118,"Marismas y humedales",94
10101,"Macrocystis",84
10101,"Marismas y humedales",652
10102,"Macrocystis",60.3805900919951
10102,"Marismas y humedales",258
10103,"Macrocystis",258
10103,"Marismas y humedales",20
10104,"Macrocystis",2.84897809047579
10104,"Marismas y humedales",125
10106,"Macrocystis",15.8933023320263
10106,"Marismas y humedales",180
10108,"Macrocystis",123.830272193792
10108,"Marismas y humedales",559
10109,"Macrocystis",32
10109,"Marismas y humedales",93
10201,"Macrocystis",100.359489091091
10201,"Marismas y humedales",96
10202,"Macrocystis",270
10202,"Marismas y humedales",363
10203,"Macrocystis",231
10203,"Marismas y humedales",123
10204,"Macrocystis",29.2118392590179
10204,"Marismas y humedales",40
10205,"Macrocystis",714
10205,"Marismas y humedales",777
10206,"Macrocystis",63
10206,"Marismas y humedales",62
10207,"Macrocystis",575
10207,"Marismas y humedales",219
10208,"Macrocystis",1775
10208,"Marismas y humedales",763
10209,"Macrocystis",65.4451308312392
10209,"Marismas y humedales",204
10210,"Macrocystis",206.241803564153
10210,"Marismas y humedales",85
10303,"Macrocystis",12.8583312720454
10303,"Marismas y humedales",135
10305,"Macrocystis",40
10305,"Marismas y humedales",84
10306,"Macrocystis",131
10306,"Marismas y humedales",163
10401,"Macrocystis",1609
10401,"Marismas y humedales",1097
10403,"Macrocystis",1089
10403,"Marismas y humedales",446
11201,"Macrocystis",8767
11201,"Marismas y humedales",47679
11202,"Macrocystis",4962
11202,"Marismas y humedales",13582
11203,"Macrocystis",1801
11203,"Marismas y humedales",18
11303,"Macrocystis",56878
11303,"Marismas y humedales",151200
12101,"Macrocystis",140905
12101,"Marismas y humedales",191064
12102,"Macrocystis",219
12102,"Marismas y humedales",150
12103,"Macrocystis",31506
12103,"Marismas y humedales",48774
12104,"Macrocystis",366
12104,"Marismas y humedales",162
12201,"Macrocystis",88520
12201,"Marismas y humedales",124100
12301,"Macrocystis",1867
12301,"Marismas y humedales",2702
12302,"Macrocystis",210
12302,"Marismas y humedales",3160
12303,"Macrocystis",22958
12303,"Marismas y humedales",16890
12401,"Macrocystis",272892
12401,"Marismas y humedales",548050
12402,"Macrocystis",2378
12402,"Marismas y humedales",596
14101,"Macrocystis",54
14101,"Marismas y humedales",60
14102,"Macrocystis",187
14102,"Marismas y humedales",91
14106,"Macrocystis",24
14106,"Marismas y humedales",124
14201,"Macrocystis",58
14201,"Marismas y humedales",73
15101,"Macrocystis",6
15101,"Marismas y humedales",1070
15101,"Pastos marinos",58.6971489129563
15102,"Macrocystis",0.418005619293441
15102,"Marismas y humedales",72
15102,"Pastos marinos",229.680377896054
16202,"Macrocystis",33
16202,"Marismas y humedales",694
16203,"Macrocystis",1
16203,"Marismas y humedales",106
16207,"Macrocystis",3
16207,"Marismas y humedales",30
