"rgn_id","resilience_score"
5602,0.337484295034655
10202,0.255833258981077
2101,0.151764572969748
8202,0.15457436407415
15101,0.0919402360564438
11201,0.204411835676537
12201,0.98102689084639
10102,0.113889771475631
3102,0.300134892113529
15102,1
4202,0.182877123316293
8203,0.131453942565616
9102,0.148371350720087
5603,0.374482519527535
5102,0.195319261976139
10201,0.290625668042618
10401,0.481087243293123
3201,0.215403380463286
7202,0.260186387630666
10203,0.303690311163301
11202,0.472494807689607
16202,0.341341323459879
10103,0.284532078110656
16203,0.18195424630949
5103,0.156993336496519
7102,0.155487926759836
3101,0.112934943904294
4102,0.117874543376315
8102,0.13708380957172
14102,0.266878946802125
10204,0.535730577172437
7103,0.22356834836354
10205,0.352304080449969
5604,0.44916572309516
5605,0.45929891255816
3303,0.268982698668514
10104,0.156573048245206
11203,0.846279670775273
10403,0.219278024288746
8112,0.110176936945588
1404,0.975312410955138
3304,0.27366541896541
1101,0.180661716929432
4104,0.631116613773199
5401,0.12843137410158
4101,0.149720358450397
14201,0.123202320594824
12102,1
8201,0.148313992403907
7303,0.446387810395195
6203,0.207232895814223
8206,0.194903223808243
10106,0.129828727423401
4203,0.276620658165908
8106,0.195253380916692
14106,0.145352575342507
10108,0.176006456206957
2102,0.337300959260625
12401,0.254570761100237
6205,0.379072116015862
4301,0.116544621527214
5403,0.37408155626701
6206,0.293161142936061
7203,0.485770779316993
8107,0.108852172441796
6201,0.320330772190574
12301,0.251819185727801
12302,1
5105,0.246176383614088
10101,0.100873322945557
10109,0.147152852397848
12101,0.181102446897053
10206,0.578481507141814
10303,0.154647784374987
10207,
10208,0.250287900260041
10209,0.227285406701389
10210,0.434425207195122
5107,0.231328009483825
10305,0.142999130092434
12103,1
9116,0.192298582697291
5601,0.102751435729639
12104,1
10306,0.289329095794263
8108,0.0797165917255457
5606,0.606495746430095
8110,0.110178265816705
2104,
9117,0.161657017123612
12303,1
8207,0.300138728980254
2301,0.212130060888556
9118,0.21219530148999
8111,0.161875613852132
12402,1
11303,1
16207,0.276240294991364
14101,0.120060271929537
5101,
7309,0.520915042658052
5109,0.157175781558513
5405,1
5201,1
5104,1
