"rgn_id","sector","year","jobs"
"05602","Alojamiento","2022",35
"05602","Alojamiento","2023",34
"05602","Alojamiento","2024",30
"05602","Alojamiento","2020",20
"05602","Alojamiento","2021",24
"05602","Turismo","2022",6
"05602","Turismo","2023",9
"05602","Turismo","2024",1
"05602","Turismo","2020",0
"05602","Turismo","2021",10
"10202","Turismo","2022",10
"10202","Turismo","2023",3
"10202","Turismo","2024",3
"10202","Turismo","2020",4
"10202","Turismo","2021",8
"10202","Transporte","2022",216
"10202","Transporte","2023",520
"10202","Transporte","2024",495
"10202","Transporte","2020",217
"10202","Transporte","2021",244
"10202","Pesca","2022",292
"10202","Pesca","2023",265
"10202","Pesca","2024",242
"10202","Pesca","2020",192
"10202","Pesca","2021",236
"10202","Alojamiento","2022",77
"10202","Alojamiento","2023",96
"10202","Alojamiento","2024",85
"10202","Alojamiento","2020",97
"10202","Alojamiento","2021",90
"10202","Acuicultura","2022",775
"10202","Acuicultura","2023",475
"10202","Acuicultura","2024",454
"10202","Acuicultura","2020",724
"10202","Acuicultura","2021",716
"02101","Transporte","2022",118
"02101","Transporte","2023",13
"02101","Transporte","2024",140
"02101","Transporte","2020",66
"02101","Transporte","2021",97
"02101","Acuicultura","2022",25
"02101","Acuicultura","2023",3
"02101","Acuicultura","2024",6
"02101","Acuicultura","2020",121
"02101","Acuicultura","2021",93
"02101","Turismo","2022",32
"02101","Turismo","2023",50
"02101","Turismo","2024",26
"02101","Turismo","2020",16
"02101","Turismo","2021",24
"02101","Alojamiento","2022",359
"02101","Alojamiento","2023",418
"02101","Alojamiento","2024",494
"02101","Alojamiento","2020",226
"02101","Alojamiento","2021",313
"02101","Pesca","2022",303
"02101","Pesca","2023",504
"02101","Pesca","2024",267
"02101","Pesca","2020",216
"02101","Pesca","2021",236
"08202","Turismo","2022",0
"08202","Turismo","2023",1
"08202","Turismo","2024",0
"08202","Turismo","2020",0
"08202","Turismo","2021",0
"08202","Alojamiento","2022",115
"08202","Alojamiento","2023",115
"08202","Alojamiento","2024",78
"08202","Alojamiento","2020",102
"08202","Alojamiento","2021",108
"08202","Acuicultura","2022",3
"08202","Acuicultura","2023",0
"08202","Acuicultura","2024",1
"08202","Acuicultura","2020",2
"08202","Acuicultura","2021",6
"08202","Pesca","2022",22
"08202","Pesca","2023",26
"08202","Pesca","2024",27
"08202","Pesca","2020",21
"08202","Pesca","2021",10
"08202","Transporte","2022",NA
"08202","Transporte","2023",NA
"08202","Transporte","2024",NA
"08202","Transporte","2020",3
"08202","Transporte","2021",2
"15101","Pesca","2022",1265
"15101","Pesca","2023",1270
"15101","Pesca","2024",1294
"15101","Pesca","2020",1091
"15101","Pesca","2021",1252
"15101","Transporte","2022",5
"15101","Transporte","2023",96
"15101","Transporte","2024",5
"15101","Transporte","2020",24
"15101","Transporte","2021",10
"15101","Acuicultura","2022",6
"15101","Acuicultura","2023",4
"15101","Acuicultura","2024",0
"15101","Acuicultura","2020",14
"15101","Acuicultura","2021",4
"15101","Turismo","2022",102
"15101","Turismo","2023",79
"15101","Turismo","2024",65
"15101","Turismo","2020",128
"15101","Turismo","2021",83
"15101","Alojamiento","2022",139
"15101","Alojamiento","2023",120
"15101","Alojamiento","2024",109
"15101","Alojamiento","2020",170
"15101","Alojamiento","2021",229
"11201","Alojamiento","2022",53
"11201","Alojamiento","2023",53
"11201","Alojamiento","2024",64
"11201","Alojamiento","2020",55
"11201","Alojamiento","2021",50
"11201","Turismo","2022",26
"11201","Turismo","2023",16
"11201","Turismo","2024",16
"11201","Turismo","2020",25
"11201","Turismo","2021",44
"11201","Pesca","2022",49
"11201","Pesca","2023",23
"11201","Pesca","2024",19
"11201","Pesca","2020",52
"11201","Pesca","2021",46
"11201","Transporte","2022",603
"11201","Transporte","2023",609
"11201","Transporte","2024",706
"11201","Transporte","2020",784
"11201","Transporte","2021",549
"11201","Acuicultura","2022",1320
"11201","Acuicultura","2023",1523
"11201","Acuicultura","2024",1819
"11201","Acuicultura","2020",914
"11201","Acuicultura","2021",1042
"12201","Transporte","2022",5
"12201","Transporte","2023",11
"12201","Transporte","2024",4
"12201","Transporte","2020",6
"12201","Transporte","2021",2
"12201","Alojamiento","2022",2
"12201","Alojamiento","2023",4
"12201","Alojamiento","2024",2
"12201","Alojamiento","2020",6
"12201","Alojamiento","2021",4
"12201","Turismo","2022",92
"12201","Turismo","2023",115
"12201","Turismo","2024",136
"12201","Turismo","2020",96
"12201","Turismo","2021",66
"12201","Pesca","2022",40
"12201","Pesca","2023",42
"12201","Pesca","2024",43
"12201","Pesca","2020",46
"12201","Pesca","2021",41
"10102","Alojamiento","2022",14
"10102","Alojamiento","2023",17
"10102","Alojamiento","2024",28
"10102","Alojamiento","2020",25
"10102","Alojamiento","2021",140
"10102","Turismo","2022",0
"10102","Turismo","2023",2
"10102","Turismo","2024",0
"10102","Turismo","2020",NA
"10102","Turismo","2021",0
"10102","Pesca","2022",641
"10102","Pesca","2023",1065
"10102","Pesca","2024",858
"10102","Pesca","2020",671
"10102","Pesca","2021",591
"10102","Transporte","2022",267
"10102","Transporte","2023",244
"10102","Transporte","2024",290
"10102","Transporte","2020",224
"10102","Transporte","2021",178
"10102","Acuicultura","2022",820
"10102","Acuicultura","2023",1037
"10102","Acuicultura","2024",893
"10102","Acuicultura","2020",726
"10102","Acuicultura","2021",696
"03102","Pesca","2022",868
"03102","Pesca","2023",947
"03102","Pesca","2024",972
"03102","Pesca","2020",729
"03102","Pesca","2021",901
"03102","Alojamiento","2022",41
"03102","Alojamiento","2023",39
"03102","Alojamiento","2024",27
"03102","Alojamiento","2020",31
"03102","Alojamiento","2021",39
