"rgn_id","riq_spp","resilience_score"
"01101",159,0.670886075949367
"01404",35,0.147679324894515
"02101",176,0.742616033755274
"02102",141,0.594936708860759
"02104",119,0.50210970464135
"02301",99,0.417721518987342
"03101",90,0.379746835443038
"03102",154,0.649789029535865
"03201",104,0.438818565400844
"03303",131,0.552742616033755
"03304",171,0.721518987341772
"04101",221,0.932489451476793
"04102",237,1
"04104",180,0.759493670886076
"04202",169,0.713080168776371
"04203",167,0.704641350210971
"04301",154,0.649789029535865
"05101",158,0.666666666666667
"05102",123,0.518987341772152
"05103",180,0.759493670886076
"05104",50,0.210970464135021
"05105",186,0.784810126582278
"05107",203,0.856540084388186
"05109",192,0.810126582278481
"05201",70,0.29535864978903
"05401",159,0.670886075949367
"05403",161,0.679324894514768
"05405",164,0.691983122362869
"05601",184,0.776371308016878
"05602",183,0.772151898734177
"05603",162,0.683544303797468
"05604",152,0.641350210970464
"05605",172,0.725738396624473
"05606",211,0.890295358649789
"06201",171,0.721518987341772
"06203",85,0.358649789029536
"06205",139,0.586497890295359
"06206",111,0.468354430379747
"07102",173,0.729957805907173
"07103",129,0.544303797468354
"07202",124,0.523206751054852
"07203",125,0.527426160337553
"07303",145,0.611814345991561
"07309",114,0.481012658227848
"08102",165,0.69620253164557
"08106",116,0.489451476793249
"08107",169,0.713080168776371
"08108",95,0.40084388185654
"08110",166,0.70042194092827
"08111",149,0.628691983122363
"08112",180,0.759493670886076
"08201",114,0.481012658227848
"08202",165,0.69620253164557
"08203",25,0.105485232067511
"08206",0,0
"08207",131,0.552742616033755
"09102",135,0.569620253164557
"09116",146,0.616033755274262
"09117",94,0.39662447257384
"09118",119,0.50210970464135
"10101",203,0.856540084388186
"10102",146,0.616033755274262
"10103",99,0.417721518987342
"10104",41,0.172995780590717
"10106",120,0.506329113924051
"10108",179,0.755274261603376
"10109",41,0.172995780590717
"10201",158,0.666666666666667
"10202",208,0.877637130801688
"10203",162,0.683544303797468
"10204",100,0.421940928270042
"10205",109,0.459915611814346
"10206",101,0.426160337552743
"10207",127,0.535864978902954
"10208",160,0.675105485232067
"10209",128,0.540084388185654
"10210",116,0.489451476793249
"10303",69,0.291139240506329
"10305",74,0.312236286919831
"10306",117,0.493670886075949
"10401",160,0.675105485232067
"10403",157,0.662447257383966
"11201",140,0.590717299578059
"11202",147,0.620253164556962
"11203",84,0.354430379746835
"11303",120,0.506329113924051
"12101",191,0.805907172995781
"12102",51,0.215189873417722
"12103",119,0.50210970464135
"12104",139,0.586497890295359
"12201",152,0.641350210970464
"12301",136,0.573839662447257
"12302",121,0.510548523206751
"12303",99,0.417721518987342
"12401",169,0.713080168776371
"12402",64,0.270042194092827
"14101",153,0.645569620253165
"14102",170,0.717299578059072
"14106",127,0.535864978902954
"14201",80,0.337552742616034
"15101",226,0.953586497890295
"15102",87,0.367088607594937
"16202",140,0.590717299578059
"16203",102,0.430379746835443
"16207",116,0.489451476793249
