"rgn_id","habitat","punto_referencia"
1101,"Bentonico",725.389911552
1101,"Bosques y matorrales",2.41
1101,"Macrocystis",0.14
1101,"Marismas y humedales",18.05
1101,"Playas y dunas",328.98
1404,"Bentonico",461.089740638
1404,"Bosques y matorrales",45.12
1404,"Macrocystis",0.15650154960232
1404,"Marismas y humedales",2.36
1404,"Playas y dunas",234.2
2101,"Bentonico",785.362474146
2101,"Bosques y matorrales",7.952
2101,"Macrocystis",0.0539269759447861
2101,"Marismas y humedales",31.67
2101,"Playas y dunas",349.03
2102,"Bentonico",299.602679087
2102,"Bosques y matorrales",110.28
2102,"Macrocystis",0.54
2102,"Marismas y humedales",2.13
2102,"Playas y dunas",236.57
2104,"Bentonico",932.853938907
2104,"Bosques y matorrales",19.8
2104,"Macrocystis",0.88
2104,"Marismas y humedales",21.86
2104,"Playas y dunas",505.5
2301,"Bentonico",694.695441995
2301,"Bosques y matorrales",2.19
2301,"Macrocystis",0.357222638105589
2301,"Marismas y humedales",3.7
2301,"Playas y dunas",284.97
3101,"Bentonico",178.344550165
3101,"Bosques y matorrales",3.73
3101,"Macrocystis",0.0504750090050471
3101,"Marismas y humedales",3.3
3101,"Playas y dunas",114.54
3102,"Bentonico",587.721689894
3102,"Bosques y matorrales",17.34
3102,"Macrocystis",0.16
3102,"Marismas y humedales",7.5
3102,"Playas y dunas",425.36
3201,"Bentonico",283.423872119
3201,"Bosques y matorrales",17.58
3201,"Macrocystis",0.07
3201,"Marismas y humedales",4.7
3201,"Playas y dunas",194.5
3303,"Bentonico",334.26576422
3303,"Bosques y matorrales",9.33
3303,"Macrocystis",0.0891038377212094
3303,"Marismas y humedales",5.7
3303,"Playas y dunas",196.51
3304,"Bentonico",316.945340184
3304,"Bosques y matorrales",7.2
3304,"Macrocystis",0.0659877352685246
3304,"Marismas y humedales",17.7
3304,"Playas y dunas",176.5
4101,"Bentonico",162.279091578
4101,"Bosques y matorrales",13.3
4101,"Macrocystis",0.0131317008333186
4101,"Marismas y humedales",38.13
4101,"Playas y dunas",58.11
4102,"Bentonico",224.411985431
4102,"Bosques y matorrales",29.58
4102,"Macrocystis",0.17
4102,"Marismas y humedales",75.5
4102,"Playas y dunas",120.8
4104,"Bentonico",292.785130168
4104,"Bosques y matorrales",22.32
4104,"Macrocystis",0.15
4104,"Marismas y humedales",6.99
4104,"Playas y dunas",147.16
4202,"Bentonico",242.915451623
4202,"Bosques y matorrales",79.53
4202,"Macrocystis",0.73
4202,"Marismas y humedales",81.95
4202,"Playas y dunas",39.33
4203,"Bentonico",246.094099402
4203,"Bosques y matorrales",35.9
4203,"Macrocystis",0.83
4203,"Marismas y humedales",64.7
4203,"Playas y dunas",34.64
4301,"Bentonico",501.174004498
4301,"Bosques y matorrales",14.63
4301,"Macrocystis",1.58
4301,"Marismas y humedales",151.2
4301,"Playas y dunas",155.185
5101,"Bentonico",7.47430177729
5101,"Bosques y matorrales",27.66
5101,"Macrocystis",0.05
