"rgn_id","area_km2"
1101,4031.60389304
1404,2474.12595764
2101,3900.24586438
2102,2630.71341361
2104,4726.13429552
2301,3498.78657402
3101,911.378364185
3102,3405.60838693
3201,1743.54731784
3303,2133.53611843
3304,1868.78183784
4101,1159.56648444
4102,1690.13853408
4104,2249.07649395
4202,1442.30716043
4203,1372.46237927
4301,2427.82512951
5101,442.560210682
5102,363.716370953
5103,120.829292763
5104,4953.70181429
5105,459.812413374
5107,456.372680513
5109,361.244642123
5201,6146.96515012
5401,699.599552679
5403,306.285768788
5405,378.968399584
5601,189.74871315
5602,293.29395277
5603,107.511335307
5604,207.706524522
5605,250.148137158
5606,1101.2306296
6201,1089.42345653
6203,305.538136738
6205,535.620610143
6206,386.233457447
7102,1529.59129017
7103,446.830421152
7202,560.379151996
7203,871.580992313
7303,259.365629726
7309,581.674576608
8102,1121.03669229
8106,614.611590926
8107,209.491788862
8108,591.466920185
8110,411.735077828
8111,708.32328528
8112,445.461643356
8201,1184.7552725
8202,1181.39331303
8203,741.877865979
8206,160.075229706
8207,2428.2387596
9102,1319.68275169
9116,581.291798145
9117,795.950302054
9118,406.474412844
10101,749.966776486
10102,1391.2704255
10103,348.982382732
10104,675.110581589
10106,756.411417145
10108,1122.73032148
10109,38.7465433674
10201,530.906137779
10202,1898.14176314
10203,1116.08848273
10204,141.812672293
10205,949.013618428
10206,230.483718886
10207,1311.82027341
10208,8582.70245306
10209,1718.31272368
10210,965.271859793
10303,752.329168048
10305,533.275840767
10306,1241.17139788
10401,5540.8579946
10403,1628.96337814
11201,24665.9657543
11202,19042.5712139
11203,4077.49954584
11303,23373.9560635
12101,30168.3875205
12102,179.175789958
12103,7510.77740695
12104,2194.14219058
12201,35005.2079859
12301,3027.98947808
12302,3183.52159738
12303,4701.00533369
12401,55043.4021432
12402,234.398501945
14101,708.362322156
14102,743.150545616
14106,791.613358119
14201,638.141502383
15101,1291.86891294
15102,1109.96361607
16202,984.574441573
16203,187.70932335
16207,93.1169485943
