"region_id","score","dimension","goal"
1101,32.4661764705882,"status","MAR"
2101,54.5925671761508,"status","MAR"
2102,67.1,"status","MAR"
2104,53.733100252738,"status","MAR"
2301,67.1,"status","MAR"
3102,56.3482727622023,"status","MAR"
4102,59.6329865087301,"status","MAR"
4202,NA,"status","MAR"
8202,22.104576436222,"status","MAR"
9102,16.7,"status","MAR"
10102,35.4148518212284,"status","MAR"
10201,32.243600725079,"status","MAR"
10202,37.3712716091859,"status","MAR"
10203,32.7569156173187,"status","MAR"
10205,30.891545758449,"status","MAR"
10209,36.9823408779349,"status","MAR"
10210,33.8889776697073,"status","MAR"
11202,36.5820858243409,"status","MAR"
11203,23.9788866113403,"status","MAR"
12401,31.3647156116618,"status","MAR"
14101,64.9464439655172,"status","MAR"
14102,NA,"status","MAR"
NA,120.866431293017,"status","MAR"
1101,-0.6613,"trend","MAR"
2101,0.0589,"trend","MAR"
2102,1,"trend","MAR"
2104,1,"trend","MAR"
2301,NA,"trend","MAR"
3102,-0.1557,"trend","MAR"
4102,-0.1109,"trend","MAR"
8202,-0.4229,"trend","MAR"
9102,-0.875,"trend","MAR"
10102,-0.2594,"trend","MAR"
10201,-0.5104,"trend","MAR"
10202,-0.2566,"trend","MAR"
10203,-0.3805,"trend","MAR"
10205,-0.589,"trend","MAR"
10209,-0.0799,"trend","MAR"
10210,-0.4216,"trend","MAR"
11202,0.0433,"trend","MAR"
11203,-0.421,"trend","MAR"
12401,-0.1655,"trend","MAR"
14101,1,"trend","MAR"
NA,-0.632,"trend","MAR"
