"rgn_id","pressure_score"
1101,0
1404,0
2101,0
2102,0
2104,0
2301,0
3101,1
3102,0
3201,0
3303,1
3304,0
4101,1
4102,1
4104,1
4202,0
4203,1
4301,1
5101,1
5102,1
5103,1
5104,0
5105,0
5107,0
5109,1
5201,1
5401,1
5403,1
5405,1
5601,1
5602,0
5603,0
5604,0
5605,1
5606,1
6201,0
6203,1
6205,0
6206,1
7102,0
7103,1
7202,1
7203,1
7303,1
7309,1
8102,0
8106,1
8107,1
8108,0
8110,1
8111,1
8112,0
8201,0
8202,1
8203,0
8206,1
8207,0
9102,0
9116,0
9117,1
9118,1
10101,0
10102,1
10103,1
10104,0
10106,1
10108,0
10109,0
10201,0
10202,0
10203,1
10204,1
10205,0
10206,0
10207,1
10208,1
10209,1
10210,1
10303,1
10305,1
10306,1
10401,1
10403,1
11201,1
11202,1
11203,0
11303,1
12101,0
12102,0
12103,0
12104,0
12201,0
12301,0
12302,0
12303,0
12401,0
12402,0
14101,1
14102,0
14106,0
14201,0
15101,0
15102,0
16202,1
16203,1
16207,1
