rgn_id,specie,status
5201,Fregata minor,1
5201,Anous stolidus,1
5201,Phaethon rubricauda,1
5201,Puffinus nativitatis,1
5201,Sula sula,1
5201,Sula dactylatra,1
5201,Pterodroma ultima,0.8
5201,Pterodroma externa,0.6
5201,Arothron meleagris,1
5201,Cryptoblepharus poecilopleurus,1
5201,Forcipiger flavissimus,1
5201,Chaetodon litus,1
5201,Chelonia mydas,0.4
5201,Pterodroma alba,0.6
5201,Columba livia,1
5201,Passer domesticus,1
5201,Diuca diuca,1
5201,Nothoprocta perdicaria,1
5201,Pterodroma neglecta,1
5201,Phaethon lepturus,1
5201,Bubulcus ibis,1
5201,Tringa incana,1
5201,Thalassarche melanophris,1
5201,Pterodroma heraldica,1
5201,Pterodroma nigripennis,1
5201,Pterodroma atrata,0.4
5201,Macronectes halli,1
5201,Acanthurus leucopareius,1
5201,Megaptera novaeangliae,1
5201,Cornu aspersum,1
5201,Macronectes giganteus,1
5104,Pterodroma externa,0.6
5104,Anairetes fernandezianus,0.4
5104,Thalassarche melanophris,1
5104,Macronectes halli,1
5104,Sephanoides sephaniodes,1
5104,Sephanoides fernandensis,0.2
5104,Pterodroma neglecta,1
5104,Fregetta grallaria,1
5104,Pterodroma longirostris,0.6
5104,Columba livia,1
5104,Turdus falcklandii,1
5104,Larus dominicanus,1
5104,Thalassarche bulleri,0.8
5104,Pterodroma defilippiana,0.6
5104,Sula dactylatra,1
5104,Macronectes giganteus,1
5104,Falco sparverius,1
5104,Eristalis tenax,1
5104,Asio flammeus,0.8
5104,Diomedea epomophora,0.6
5104,Diomedea sanfordi,0.4
5104,Passer domesticus,1
5104,Arctocephalus philippii,1
5104,Seriola lalandi,1
5104,Pseudocaranx chilensis,0.6
5104,Cornu aspersum,1
5104,Oryctolagus cuniculus,0.4
5104,Cinclodes oustaleti,1
5104,Aphrastura masafuerae,0.2
5104,Pterodroma nigripennis,1
5109,Passer domesticus,1
5606,Pelecanus thagus,0.8
4102,Ardea cocoi,1
11202,Haematopus palliatus,1
5606,Vanellus chilensis,1
10202,Spheniscus humboldti,0.6
5606,Plegadis chihi,1
12201,Thalassarche melanophris,1
5101,Passer domesticus,1
12201,Macronectes giganteus,1
4104,Larus dominicanus,1
5103,Passer domesticus,1
5602,Tringa flavipes,0.6
8112,Diuca diuca,1
10201,Vanellus chilensis,1
12201,Larus dominicanus,1
8110,Vanellus chilensis,1
5604,Pelecanus thagus,0.8
12101,Vanellus chilensis,1
4203,Sula variegata,1
5107,Passer domesticus,1
15101,Thalasseus elegans,0.8
6201,Larosterna inca,0.8
9116,Passer domesticus,1
10108,Macronectes giganteus,1
4102,Larus dominicanus,1
14102,Turdus falcklandii,1
12101,Passer domesticus,1
15101,Larosterna inca,0.8
5602,Sephanoides sephaniodes,1
10101,Turdus falcklandii,1
5109,Haematopus palliatus,1
12401,Cygnus melancoryphus,1
4202,Larus dominicanus,1
5602,Larus dominicanus,1
5107,Larus dominicanus,1
10201,Sephanoides sephaniodes,1
5109,Turdus falcklandii,1
5606,Bubulcus ibis,1
5602,Vanellus chilensis,1
12101,Larus dominicanus,1
5107,Vanellus chilensis,1
12101,Macronectes giganteus,1
5605,Heteronetta atricapilla,1
14101,Larus dominicanus,1
8110,Coscoroba coscoroba,1
10306,Pelecanus thagus,0.8
2102,Larus dominicanus,1
15101,Larus dominicanus,1
10102,Pelecanus thagus,0.8
12301,Vanellus chilensis,1
14101,Thalassarche melanophris,1
5107,Tringa flavipes,0.6
8112,Larus dominicanus,1
5107,Sephanoides sephaniodes,1
5604,Larus dominicanus,1
5101,Columba livia,1
5109,Cinclodes oustaleti,1
5601,Vanellus chilensis,1
5606,Thalasseus elegans,0.8
5603,Vanellus chilensis,1
5103,Larus dominicanus,1
14106,Diuca diuca,1
1101,Thalassarche bulleri,0.8
14101,Macronectes halli,1
5107,Turdus falcklandii,1
12104,Chloephaga hybrida,1
8111,Pelecanus thagus,0.8
5405,Pelecanus thagus,0.8
4203,Turdus falcklandii,1
5602,Haematopus palliatus,1
12301,Tachyeres pteneres,1
12101,Turdus falcklandii,1
5109,Columba livia,1
12101,Chloephaga rubidiceps,1
12101,Geranoaetus melanoleucus,1
10202,Cygnus melancoryphus,1
5606,Haematopus palliatus,1
10101,Cinclodes oustaleti,1
15101,Pelecanus thagus,0.8
5604,Turdus falcklandii,1
4102,Numenius phaeopus,1
4102,Sula variegata,1
12101,Macronectes halli,1
1101,Passer domesticus,1
12101,Tachyeres pteneres,1
10202,Vanellus chilensis,1
5109,Diuca diuca,1
6201,Larus dominicanus,1
8110,Larus dominicanus,1
5605,Sephanoides sephaniodes,1
12101,Thalassarche melanophris,1
4104,Calidris alba,1
4202,Vanellus chilensis,1
5105,Columba livia,1
3304,Haematopus palliatus,1
10101,Larus dominicanus,1
10401,Turdus falcklandii,1
5105,Larus dominicanus,1
10401,Pelecanus thagus,0.8
3303,Larus dominicanus,1
5107,Falco sparverius,1
4101,Calidris alba,1
10106,Turdus falcklandii,1
15101,Falco peregrinus,1
5105,Numenius phaeopus,1
10210,Vanellus chilensis,1
8202,Vanellus chilensis,1
4101,Numenius phaeopus,1
4101,Sephanoides sephaniodes,1
12201,Diomedea sanfordi,0.4
7309,Tringa flavipes,0.6
8111,Sephanoides sephaniodes,1
12201,Macronectes halli,1
5109,Larus dominicanus,1
2101,Larosterna inca,0.8
10102,Vanellus chilensis,1
4101,Larus dominicanus,1
4104,Numenius phaeopus,1
5109,Pelecanus thagus,0.8
8111,Passer domesticus,1
5605,Bubulcus ibis,1
5606,Larus dominicanus,1
10202,Larus dominicanus,1
3303,Pelecanus thagus,0.8
5603,Coscoroba coscoroba,1
4102,Passer domesticus,1
12401,Larus dominicanus,1
1101,Larosterna inca,0.8
12201,Tachyeres pteneres,1
10101,Passer domesticus,1
10201,Cygnus melancoryphus,1
5105,Sula variegata,1
10202,Passer domesticus,1
4203,Numenius phaeopus,1
5101,Larus dominicanus,1
5101,Pterodroma defilippiana,0.6
4202,Diuca diuca,1
5606,Ardea cocoi,1
10401,Vanellus chilensis,1
5105,Turdus falcklandii,1
10201,Turdus falcklandii,1
15101,Pelecanoides garnotii,0.8
3102,Pelecanus thagus,0.8
8202,Sula variegata,1
10108,Thalassarche salvini,0.6
10201,Tachyeres pteneres,1
6203,Diuca diuca,1
5601,Coscoroba coscoroba,1
2102,Numenius phaeopus,1
10210,Haematopus palliatus,1
12302,Phoenicopterus chilensis,0.8
10202,Numenius phaeopus,1
5601,Turdus falcklandii,1
16202,Haematopus palliatus,1
5605,Coscoroba coscoroba,1
9118,Turdus falcklandii,1
12302,Calidris fuscicollis,0.6
7103,Cygnus melancoryphus,1
5606,Larosterna inca,0.8
10108,Vanellus chilensis,1
2101,Numenius phaeopus,1
10108,Columba livia,1
4104,Diuca diuca,1
8107,Larosterna inca,0.8
10203,Haematopus palliatus,1
10101,Numenius phaeopus,1
10101,Pelecanus thagus,0.8
4101,Sula variegata,1
4102,Falco sparverius,1
10101,Vanellus chilensis,1
8110,Haematopus palliatus,1
4102,Haematopus palliatus,1
5101,Turdus falcklandii,1
14102,Larosterna inca,0.8
10202,Haematopus palliatus,1
10108,Cygnus melancoryphus,1
5109,Sephanoides sephaniodes,1
12201,Chloephaga hybrida,1
5602,Columba livia,1
15101,Haematopus palliatus,1
12104,Phoenicopterus chilensis,0.8
5605,Vanellus chilensis,1
8110,Turdus falcklandii,1
14106,Larus dominicanus,1
4101,Pelecanoides garnotii,0.8
10401,Sephanoides sephaniodes,1
1101,Thalassarche salvini,0.6
10201,Larus dominicanus,1
5107,Numenius phaeopus,1
14102,Larus dominicanus,1
2101,Pelecanus thagus,0.8
5604,Falco sparverius,1
4203,Diuca diuca,1
11303,Turdus falcklandii,1
5105,Macronectes halli,1
16202,Larus dominicanus,1
5603,Tringa flavipes,0.6
7102,Larus dominicanus,1
5107,Columba livia,1
5107,Haematopus palliatus,1
12401,Vanellus chilensis,1
5602,Turdus falcklandii,1
6201,Haematopus palliatus,1
12303,Chloephaga hybrida,1
5601,Larus dominicanus,1
3304,Falco peregrinus,1
2101,Calidris alba,1
5101,Larosterna inca,0.8
5605,Columba livia,1
5606,Coscoroba coscoroba,1
5606,Diuca diuca,1
5401,Nothoprocta perdicaria,1
5103,Larosterna inca,0.8
10205,Numenius phaeopus,1
5107,Thalassarche melanophris,1
4101,Haematopus palliatus,1
8201,Vanellus chilensis,1
5605,Haematopus palliatus,1
15101,Numenius phaeopus,1
12201,Vanellus chilensis,1
4102,Cinclodes oustaleti,1
5602,Diuca diuca,1
5109,Macronectes halli,1
12201,Falco sparverius,1
5606,Spheniscus humboldti,0.6
10108,Larus dominicanus,1
5401,Diuca diuca,1
5109,Thalassarche eremita,0.6
11202,Thalassarche melanophris,1
8107,Coscoroba coscoroba,1
1101,Sternula lorata,0.4
5606,Numenius phaeopus,1
12104,Larus dominicanus,1
6201,Passer domesticus,1
2101,Larus dominicanus,1
5405,Vanellus chilensis,1
14106,Turdus falcklandii,1
6201,Sephanoides sephaniodes,1
5103,Haematopus palliatus,1
10108,Passer domesticus,1
3102,Larus dominicanus,1
12301,Larus dominicanus,1
10108,Coscoroba coscoroba,1
15101,Plegadis ridgwayi,1
2101,Macronectes halli,1
10108,Tachyeres pteneres,1
15101,Calidris alba,1
10108,Pelecanus thagus,0.8
10403,Sephanoides sephaniodes,1
4202,Tringa flavipes,0.6
3102,Numenius phaeopus,1
10108,Thalassarche melanophris,1
10102,Tachyeres pteneres,1
5103,Columba livia,1
5401,Numenius phaeopus,1
5601,Sephanoides sephaniodes,1
12101,Tringa flavipes,0.6
8107,Haematopus palliatus,1
4202,Vultur gryphus,0.6
12101,Columba livia,1
3304,Laterallus jamaicensis,0.4
6201,Sula variegata,1
5606,Calidris alba,1
5603,Larus dominicanus,1
12103,Larus dominicanus,1
10207,Sephanoides sephaniodes,1
10203,Speculanas specularis,0.8
5606,Columba livia,1
10108,Pelecanoides garnotii,0.8
10108,Numenius phaeopus,1
5605,Larus dominicanus,1
11202,Sephanoides sephaniodes,1
5604,Sephanoides sephaniodes,1
2101,Cinclodes oustaleti,1
4102,Spheniscus humboldti,0.6
12103,Cygnus melancoryphus,1
10108,Phoenicopterus chilensis,0.8
11201,Thalassarche melanophris,1
3304,Calidris alba,1
5101,Pelecanoides garnotii,0.8
10306,Vanellus chilensis,1
12101,Falco sparverius,1
5603,Cygnus melancoryphus,1
10203,Larus dominicanus,1
10108,Sephanoides sephaniodes,1
15101,Columba livia,1
5101,Macronectes halli,1
9102,Larus dominicanus,1
9118,Larosterna inca,0.8
10101,Calidris fuscicollis,0.6
14102,Sephanoides sephaniodes,1
1101,Larus dominicanus,1
2102,Spheniscus humboldti,0.6
6201,Diuca diuca,1
10202,Tachyeres pteneres,1
5109,Numenius phaeopus,1
14102,Pelecanus thagus,0.8
8110,Tringa flavipes,0.6
5109,Sula variegata,1
12401,Calidris fuscicollis,0.6
14101,Turdus falcklandii,1
8106,Sula variegata,1
9118,Larus dominicanus,1
4101,Bubulcus ibis,1
10207,Cygnus melancoryphus,1
5605,Tringa flavipes,0.6
10108,Larosterna inca,0.8
7203,Haematopus palliatus,1
8112,Ardea cocoi,1
8110,Sula variegata,1
5105,Coscoroba coscoroba,1
10209,Tachyeres pteneres,1
10201,Diuca diuca,1
5603,Sula variegata,1
10403,Turdus falcklandii,1
8106,Diomedea epomophora,0.6
10201,Numenius phaeopus,1
2301,Numenius phaeopus,1
2101,Columba livia,1
5602,Coscoroba coscoroba,1
10102,Sephanoides sephaniodes,1
10101,Columba livia,1
5603,Haematopus palliatus,1
10207,Tachyeres pteneres,1
8112,Pelecanus thagus,0.8
5103,Diuca diuca,1
7102,Vanellus chilensis,1
8107,Vanellus chilensis,1
14106,Pelecanus thagus,0.8
12101,Tachyeres patachonicus,1
5605,Sula variegata,1
10208,Chloephaga hybrida,1
10209,Haematopus palliatus,1
5403,Haematopus palliatus,1
8112,Columba livia,1
9118,Numenius phaeopus,1
14101,Sula variegata,1
9116,Sephanoides sephaniodes,1
5605,Turdus falcklandii,1
5109,Pelecanoides garnotii,0.8
10403,Larus dominicanus,1
5103,Numenius phaeopus,1
8112,Spheniscus humboldti,0.6
6201,Numenius phaeopus,1
8110,Passer domesticus,1
5603,Columba livia,1
10102,Haematopus palliatus,1
5606,Turdus falcklandii,1
8112,Numenius phaeopus,1
3102,Calidris alba,1
3304,Vanellus chilensis,1
4202,Numenius phaeopus,1
5603,Passer domesticus,1
4102,Columba livia,1
8207,Turdus falcklandii,1
5107,Heteronetta atricapilla,1
10403,Tachyeres pteneres,1
10204,Larus dominicanus,1
4101,Turdus falcklandii,1
10207,Thalassarche melanophris,1
8202,Tringa flavipes,0.6
8112,Haematopus palliatus,1
5606,Tringa flavipes,0.6
5109,Larosterna inca,0.8
4202,Falco sparverius,1
2101,Sula variegata,1
10208,Haematopus palliatus,1
7103,Larus dominicanus,1
7102,Sephanoides sephaniodes,1
5103,Turdus falcklandii,1
3304,Passer domesticus,1
10106,Larus dominicanus,1
4102,Vanellus chilensis,1
10202,Turdus falcklandii,1
10401,Cygnus melancoryphus,1
5405,Larus dominicanus,1
8112,Turdus falcklandii,1
5109,Spheniscus humboldti,0.6
5603,Diuca diuca,1
5109,Thalassarche bulleri,0.8
15101,Bubulcus ibis,1
1101,Numenius phaeopus,1
5601,Cygnus melancoryphus,1
10202,Thalassarche melanophris,1
5105,Passer domesticus,1
4203,Calidris alba,1
7303,Larus dominicanus,1
5105,Macronectes giganteus,1
8102,Numenius phaeopus,1
7309,Larus dominicanus,1
5401,Coscoroba coscoroba,1
10403,Pelecanus thagus,0.8
1101,Pelecanus thagus,0.8
10208,Turdus falcklandii,1
14102,Numenius phaeopus,1
3304,Larus dominicanus,1
5103,Pelecanus thagus,0.8
10201,Cinclodes oustaleti,1
4102,Tringa flavipes,0.6
9118,Thalassarche melanophris,1
8111,Larus dominicanus,1
5105,Larosterna inca,0.8
5603,Numenius phaeopus,1
5601,Heteronetta atricapilla,1
5605,Passer domesticus,1
3102,Haematopus palliatus,1
8107,Larus dominicanus,1
12101,Chloephaga hybrida,1
7303,Haematopus palliatus,1
5105,Nothoprocta perdicaria,1
5105,Diomedea sanfordi,0.4
5604,Numenius phaeopus,1
5105,Thalassarche melanophris,1
10401,Haematopus palliatus,1
2102,Thalasseus elegans,0.8
14101,Passer domesticus,1
8202,Macronectes giganteus,1
5401,Tringa flavipes,0.6
7203,Vanellus chilensis,1
8102,Passer domesticus,1
12101,Coscoroba coscoroba,1
12301,Calidris fuscicollis,0.6
10102,Cygnus melancoryphus,1
10202,Pelecanus thagus,0.8
3303,Pterodroma defilippiana,0.6
5105,Pelecanus thagus,0.8
12104,Calidris fuscicollis,0.6
10208,Numenius phaeopus,1
10101,Sephanoides sephaniodes,1
2102,Larosterna inca,0.8
2101,Macronectes giganteus,1
4101,Thalasseus elegans,0.8
10103,Vanellus chilensis,1
10201,Pelecanus thagus,0.8
12101,Sephanoides sephaniodes,1
10103,Turdus falcklandii,1
10202,Chloephaga hybrida,1
10209,Sula variegata,1
3201,Sula variegata,1
3303,Spheniscus humboldti,0.6
3201,Larus dominicanus,1
5405,Columba livia,1
5101,Thalassarche salvini,0.6
10209,Turdus falcklandii,1
11203,Sephanoides sephaniodes,1
7103,Haematopus palliatus,1
5602,Pelecanus thagus,0.8
9102,Numenius phaeopus,1
8112,Falco sparverius,1
5103,Sula variegata,1
10401,Larus dominicanus,1
5603,Sephanoides sephaniodes,1
10403,Sula variegata,1
12104,Vanellus chilensis,1
8112,Cygnus melancoryphus,1
14102,Vanellus chilensis,1
12201,Calidris fuscicollis,0.6
4203,Vanellus chilensis,1
5101,Falco sparverius,1
5601,Pelecanus thagus,0.8
10202,Diuca diuca,1
5107,Sula variegata,1
1101,Macronectes halli,1
10102,Turdus falcklandii,1
9116,Larus dominicanus,1
5602,Sula variegata,1
10101,Tringa flavipes,0.6
3303,Thalassarche bulleri,0.8
11303,Tachyeres patachonicus,1
2102,Sternula lorata,0.4
8112,Coscoroba coscoroba,1
5105,Tringa flavipes,0.6
10209,Larus dominicanus,1
5602,Numenius phaeopus,1
2101,Passer domesticus,1
5403,Passer domesticus,1
8112,Pelecanoides garnotii,0.8
5606,Sephanoides sephaniodes,1
2102,Columba livia,1
7303,Diuca diuca,1
3304,Columba livia,1
7303,Passer domesticus,1
10204,Diuca diuca,1
10108,Sula variegata,1
8111,Thalasseus elegans,0.8
10401,Cinclodes oustaleti,1
15102,Sula variegata,1
8202,Thalasseus elegans,0.8
15101,Passer domesticus,1
5101,Haematopus palliatus,1
2101,Pterodroma defilippiana,0.6
5605,Numenius phaeopus,1
6203,Vanellus chilensis,1
10205,Larus dominicanus,1
12101,Speculanas specularis,0.8
4101,Pelecanus thagus,0.8
4102,Pterodroma defilippiana,0.6
5601,Haematopus palliatus,1
14101,Numenius phaeopus,1
5107,Diuca diuca,1
5109,Thalassarche melanophris,1
5603,Turdus falcklandii,1
10101,Cygnus melancoryphus,1
5101,Thalassarche melanophris,1
10306,Larus dominicanus,1
11203,Vanellus chilensis,1
5604,Spheniscus humboldti,0.6
14102,Thalasseus elegans,0.8
8112,Sula variegata,1
1101,Pelecanoides garnotii,0.8
8110,Cinclodes oustaleti,1
9116,Tringa flavipes,0.6
9116,Falco sparverius,1
12101,Falco peregrinus,1
10208,Thalassarche melanophris,1
11202,Pelecanus thagus,0.8
5605,Thalasseus elegans,0.8
12103,Falco peregrinus,1
10401,Numenius phaeopus,1
5401,Sephanoides sephaniodes,1
3303,Macronectes halli,1
6206,Larus dominicanus,1
10102,Passer domesticus,1
7309,Cygnus melancoryphus,1
4202,Haematopus palliatus,1
5403,Numenius phaeopus,1
5101,Pterodroma externa,0.6
7102,Passer domesticus,1
