"rgn_id","year","especie","tonnes"
"10202",2020,"Mitilidos",8277644
"10202",2020,"Ostion del Norte",263
"10202",2020,"Ostras",311883
"10202",2020,"Salmones",3146076
"10202",2021,"Mitilidos",10146117
"10202",2021,"Ostion del Norte",135
"10202",2021,"Ostras",375090
"10202",2021,"Salmones",8856117
"10202",2022,"Mitilidos",9799924
"10202",2022,"Ostion del Norte",0
"10202",2022,"Ostras",311473
"10202",2022,"Salmones",6273036
"10202",2023,"Mitilidos",333120
"10202",2023,"Ostion del Norte",0
"10202",2023,"Ostras",354800
"10202",2023,"Salmones",2657550
"10202",2024,"Mitilidos",268764
"10202",2024,"Ostion del Norte",0
"10202",2024,"Ostras",248126
"10202",2024,"Salmones",6975963
"02101",2020,"Ostion del Norte",42450
"02101",2021,"Ostion del Norte",90196
"02101",2022,"Ostion del Norte",35152
"02101",2023,"Ostion del Norte",37830
"02101",2024,"Ostion del Norte",55918
"02101",2024,"Ostras",0
"08202",2020,"Mitilidos",900
"08202",2020,"Ostras",101800
"08202",2021,"Mitilidos",0
"08202",2022,"Mitilidos",0
"08202",2023,"Mitilidos",0
"08202",2023,"Ostion del Norte",0
"08202",2023,"Ostras",0
"08202",2024,"Mitilidos",0
"08202",2024,"Ostion del Norte",0
"08202",2024,"Ostras",0
"11201",2020,"Salmones",211168177
"11201",2021,"Salmones",206840141
"11201",2022,"Salmones",181293830
"11201",2023,"Salmones",194532494
"11201",2024,"Salmones",157099090
"12201",2020,"Salmones",7833983
"12201",2021,"Salmones",4863518
"12201",2022,"Salmones",440561
"12201",2023,"Salmones",7136164
"12201",2024,"Salmones",10970
"10102",2020,"Mitilidos",43075067
"10102",2020,"Ostras",24954
"10102",2020,"Salmones",56041756
"10102",2021,"Mitilidos",52233594
"10102",2021,"Ostras",37447
"10102",2021,"Salmones",43501097
"10102",2022,"Mitilidos",72342783
"10102",2022,"Ostras",107294
"10102",2022,"Salmones",55000290
"10102",2023,"Mitilidos",728713
"10102",2023,"Ostion del Norte",35
"10102",2023,"Ostras",93106
"10102",2023,"Salmones",45522277
"10102",2024,"Mitilidos",440150
"10102",2024,"Ostion del Norte",1390
"10102",2024,"Ostras",67322
"10102",2024,"Salmones",47279744
"03102",2020,"Abalon",410423
"03102",2020,"Ostion del Norte",353659
"03102",2020,"Ostras",249
"03102",2021,"Abalon",414603
"03102",2021,"Ostion del Norte",197034
"03102",2021,"Ostras",103
"03102",2022,"Abalon",459948
"03102",2022,"Ostion del Norte",271661
"03102",2022,"Ostras",37
"03102",2023,"Abalon",440252
"03102",2023,"Ostion del Norte",192304
"03102",2024,"Abalon",409775
"03102",2024,"Ostion del Norte",186733
"03102",2024,"Ostras",0
"04202",2024,"Ostras",0
"09102",2020,"Mitilidos",36955
"09102",2021,"Mitilidos",22828
"09102",2022,"Mitilidos",31138
"09102",2023,"Mitilidos",18337
"09102",2024,"Mitilidos",16889
"10201",2020,"Abalon",293549
"10201",2020,"Mitilidos",53590991
"10201",2020,"Ostras",0
"10201",2020,"Salmones",4644239
"10201",2021,"Abalon",358838
"10201",2021,"Mitilidos",57394076
"10201",2021,"Ostras",0
"10201",2021,"Salmones",17720567
"10201",2022,"Abalon",338991
"10201",2022,"Mitilidos",42576497
"10201",2022,"Ostras",0
"10201",2022,"Salmones",12965171
"10201",2023,"Abalon",314345
"10201",2023,"Mitilidos",0
"10201",2023,"Ostras",0
