"rgn_id","rgn_name","area_km2"
12401,Natales,32015.1738629
12201,Cabo de hornos,25608.8067403
12101,Punta arenas,21020.6989066
11201,Aysen,16051.0366655
11303,Tortel,14744.7438202
11202,Cisnes,13571.1856655
10208,Quellon,7739.73445962
05201,Isla de pascua,5927.590005
05104,Juan fernandez,4848.454466
10401,Chaiten,4735.61300759
02104,Taltal,4336.32958322
12103,Rio verde,4317.68945669
01101,Iquique,3701.64721034
02101,Antofagasta,3549.76418665
11203,Guaitecas,3545.93099619
02301,Tocopilla,3213.22150349
03102,Caldera,3101.30992397
12303,Timaukel,2750.66522945
12302,Primavera,2677.45171846
12301,Porvenir,2614.04012401
02102,Mejillones,2403.70965571
08207,Tirua,2346.26168871
01404,Huara,2267.42864085
04301,Ovalle,2226.13831912
04104,La higuera,2111.4629977
03303,Freirina,1966.13053485
12104,San gregorio,1728.39776144
03304,Huasco,1705.89129833
03201,Chanaral,1589.460684
10202,Ancud,1546.44831328
04102,Coquimbo,1517.42369058
10209,Quemchi,1484.50906916
07102,Constitucion,1404.19517814
04202,Canela,1322.89388997
09102,Carahue,1259.70083894
04203,Los vilos,1249.49865138
10403,Hualaihue,1186.8193497
15101,Arica,1177.63067312
10306,San juan de la costa,1125.17568518
10207,Queilen,1104.1399181
04101,La serena,1087.56556723
10102,Calbuco,1068.10641911
08102,Coronel,1049.97249058
08201,Lebu,1048.84616824
05606,Santo domingo,1021.10032946
15102,Camarones,1020.53314129
08202,Arauco,1018.9445564
06201,Pichilemu,1000.15198731
10203,Chonchi,949.060092485
16202,Cobquecura,907.948802781
10108,Maullin,887.795026857
03101,Copiapo,818.802140416
10205,Dalcahue,812.626900358
10210,Quinchao,811.341545435
07203,Pelluhue,804.20195871400006
09117,Teodoro schmidt,736.089768434
14106,Mariquina,728.562793845
08203,Canete,684.880816038
10303,Purranque,683.725762581
14101,Valdivia,646.885460502
05401,La ligua,639.395954306
08111,Tome,635.345742429
10106,Los muermos,627.857237115
14102,Corral,626.907492129
10104,Fresia,618.740605822
08106,Lota,590.529016899
14201,La union,579.772473261
08108,San pedro de la paz,572.347031312
10101,Puerto montt,562.296980981
09116,Saavedra,536.51165178
07309,Vichuquen,534.804094165
07202,Chanco,514.075002346
06205,Navidad,495.566031862
10305,Rio negro,486.143333159
07103,Curepto,424.24665318900003
08112,Hualpen,421.293809501
05105,Puchuncavi,420.06272174
05107,Quintero,415.616435147
05101,Valparaiso,384.155309626
09118,Tolten,367.587852501
06206,Paredones,355.961527027
05405,Zapallar,351.211150589
10201,Castro,350.386255064
08110,Talcahuano,344.744673604
05109,Vina del mar,339.144617072
05102,Casablanca,332.632332709
06203,Litueche,279.846847494
05403,Papudo,274.454990081
05602,Algarrobo,266.28630641
07303,Licanten,229.272332734
05605,El tabo,227.959244818
08107,Penco,191.91372976
05604,El quisco,191.008950883
16203,Coelemu,173.981460114
05601,San antonio,173.550649188
12102,Laguna blanca,161.79677494
10103,Cochamo,151.287088878
10206,Puqueldon,150.702331818
08206,Los alamos,148.463861672
12402,Torres del paine,146.3843792
05103,Concon,108.363700312
05603,Cartagena,98.0051061625
16207,Treguaco,84.6417065221
10204,Curaco de velez,80.5804673034
10109,Puerto varas,8.37021450527
