"rgn_id","area_int_km2","percent_coverage","resilience_score"
"05405",0,,0
"05109",0,,0
"07309",0,,0
"05101",0,,0
"14101",0,,0
"16207",0,,0
"11303",0,,0
"12402",0,,0
"08111",0,,0
"09118",0,,0
"02301",0,,0
"08207",0,,0
"12303",0,,0
"09117",0,,0
"02104",0,,0
"08110",0,,0
"05606",0,,0
"08108",0,,0
"10306",0,,0
"12104",0,,0
"05601",0,,0
"09116",0,,0
"12103",0,,0
"10305",0,,0
"05107",0,,0
"10210",0,,0
"10209",0,,0
"10208",0,,0
"10207",0,,0
"10303",0,,0
"10206",0,,0
"12101",0,,0
"10109",0,,0
"10101",0,,0
"05105",0,,0
"12302",0,,0
"12301",0,,0
"06201",0,,0
"08107",0,,0
"07203",0,,0
"06206",0,,0
"05403",0,,0
"04301",0.998078621232849,0.127962486185623,0.0306523421368099
"06205",0,,0
"12401",0,,0
"02102",0,,0
"10108",0,,0
"14106",0,,0
"08106",0,,0
"04203",0,,0
"10106",0,,0
"08206",0,,0
"06203",0,,0
"07303",0,,0
"08201",0,,0
"12102",0,,0
"14201",0,,0
"04101",0,,0
"05401",0,,0
"04104",0,,0
"05104",0,,0
"05201",0,,0
"01101",0,,0
"03304",0,,0
"01404",0,,0
"08112",0,,0
"10403",0,,0
"11203",0,,0
"10104",0,,0
"03303",0,,0
"05605",0,,0
"05604",0,,0
"10205",0,,0
"07103",0,,0
"10204",0,,0
"14102",0,,0
"08102",0,,0
"04102",0.575196142755244,0.0876175293870864,0.020988045543747
"03101",0,,0
"07102",0,,0
"05103",0,,0
"16203",0,,0
"10103",0,,0
"16202",0,,0
"11202",0,,0
"10203",0,,0
"07202",0,,0
"03201",0,,0
"10401",0,,0
"10201",0,,0
"05102",0,,0
"05603",0,,0
"09102",2.18250491647388,0.886883345894867,0.212445479641379
"08203",0,,0
"04202",19.2270563597227,4.1746397588312,1
"15102",0,,0
"03102",0,,0
"10102",0,,0
"12201",0,,0
"11201",0,,0
"15101",0,,0
"08202",0,,0
"02101",0,,0
"10202",0,,0
"05602",0,,0
