"rgn_id","resilience_score"
5602,1
10202,3
2101,1
8202,3
15101,1
11201,1
12201,2
10102,1
3102,2
15102,2
4202,2
8203,0
9102,2
5603,2
5102,2
10201,1
10401,2
3201,0
7202,1
10203,2
11202,2
16202,3
10103,2
16203,2
5103,2
7102,2
3101,2
4102,2
8102,2
14102,2
10204,2
7103,3
10205,2
5604,3
5605,3
3303,2
10104,2
11203,2
10403,1
8112,3
1404,2
3304,2
1101,1
4104,1
5401,1
4101,3
14201,2
12102,1
8201,2
7303,2
6203,2
8206,3
10106,2
4203,3
8106,2
14106,2
10108,2
2102,2
12401,2
6205,3
4301,2
5403,2
6206,3
7203,2
8107,1
6201,2
12301,1
12302,2
5105,2
10101,1
10109,1
12101,1
10206,2
10303,2
10207,2
10208,2
10209,2
10210,2
5107,2
10305,2
12103,2
9116,2
5601,2
12104,2
10306,2
8108,1
5606,2
8110,2
2104,1
9117,2
12303,2
8207,2
2301,1
9118,2
8111,2
12402,2
11303,2
16207,3
14101,1
5101,2
7309,3
5109,2
5405,2
5201,0
5104,0
