"rgn_id","sector","weight"
5602,"Alojamiento",1
10202,"Acuicultura",1
10202,"Alojamiento",1
10202,"Pesca",1
2101,"Alojamiento",1
2101,"Pesca",1
2101,"Turismo",1
8202,"Alojamiento",1
8202,"Pesca",1
15101,"Turismo",1
15101,"Pesca",1
15101,"Alojamiento",1
11201,"Turismo",1
11201,"Alojamiento",1
11201,"Acuicultura",1
11201,"Transporte",1
11201,"Pesca",1
12201,"Pesca",1
10102,"Acuicultura",1
10102,"Alojamiento",1
10102,"Transporte",1
10102,"Pesca",1
3102,"Alojamiento",1
3102,"Pesca",1
3102,"Acuicultura",1
8203,"Alojamiento",1
9102,"Alojamiento",1
5603,"Alojamiento",1
5102,"Alojamiento",1
5102,"Pesca",1
10201,"Transporte",1
10201,"Alojamiento",1
10201,"Turismo",1
10201,"Acuicultura",1
10401,"Alojamiento",1
10203,"Acuicultura",1
10203,"Alojamiento",1
11202,"Pesca",1
11202,"Acuicultura",1
11202,"Alojamiento",1
16202,"Alojamiento",1
10103,"Acuicultura",1
10103,"Alojamiento",1
5103,"Alojamiento",1
7102,"Pesca",1
7102,"Alojamiento",1
3101,"Alojamiento",1
3101,"Turismo",1
4102,"Turismo",1
4102,"Acuicultura",1
4102,"Pesca",1
4102,"Alojamiento",1
8102,"Alojamiento",1
8102,"Pesca",1
14102,"Alojamiento",1
14102,"Pesca",1
10204,"Acuicultura",1
10205,"Alojamiento",1
10205,"Pesca",1
10205,"Acuicultura",1
10205,"Transporte",1
5604,"Alojamiento",1
5605,"Alojamiento",1
11203,"Alojamiento",1
10403,"Pesca",1
10403,"Acuicultura",1
10403,"Alojamiento",1
3304,"Pesca",1
1101,"Pesca",1
1101,"Turismo",1
1101,"Alojamiento",1
5104,"Pesca",1
4104,"Alojamiento",1
4101,"Alojamiento",1
4101,"Turismo",1
14201,"Alojamiento",1
8201,"Alojamiento",1
8201,"Pesca",1
7303,"Pesca",1
7303,"Alojamiento",1
10106,"Alojamiento",1
4203,"Pesca",1
4203,"Alojamiento",1
8106,"Pesca",1
14106,"Alojamiento",1
10108,"Acuicultura",1
2102,"Alojamiento",1
12401,"Pesca",1
12401,"Alojamiento",1
12401,"Turismo",1
12401,"Acuicultura",1
12401,"Transporte",1
6205,"Alojamiento",1
4301,"Pesca",1
4301,"Alojamiento",1
7203,"Alojamiento",1
7203,"Pesca",1
6201,"Alojamiento",1
12301,"Alojamiento",1
12301,"Pesca",1
5105,"Alojamiento",1
10101,"Transporte",1
10101,"Acuicultura",1
10101,"Turismo",1
10101,"Alojamiento",1
10101,"Pesca",1
10109,"Alojamiento",1
10109,"Turismo",1
10109,"Acuicultura",1
10109,"Transporte",1
12101,"Turismo",1
12101,"Alojamiento",1
12101,"Pesca",1
12101,"Acuicultura",1
12101,"Transporte",1
10206,"Alojamiento",1
10206,"Acuicultura",1
10207,"Pesca",1
10207,"Acuicultura",1
10208,"Transporte",1
10208,"Alojamiento",1
10208,"Pesca",1
10208,"Acuicultura",1
10209,"Alojamiento",1
10209,"Acuicultura",1
10210,"Transporte",1
10210,"Acuicultura",1
5107,"Alojamiento",1
5107,"Pesca",1
5601,"Alojamiento",1
5601,"Pesca",1
10306,"Alojamiento",1
8108,"Alojamiento",1
8108,"Pesca",1
8110,"Alojamiento",1
8110,"Pesca",1
2104,"Alojamiento",1
9117,"Alojamiento",1
8207,"Alojamiento",1
2301,"Alojamiento",1
9118,"Pesca",1
9118,"Turismo",1
8111,"Alojamiento",1
14101,"Alojamiento",1
14101,"Pesca",1
14101,"Acuicultura",1
14101,"Transporte",1
14101,"Turismo",1
5101,"Pesca",1
5101,"Transporte",1
5101,"Turismo",1
5101,"Alojamiento",1
7309,"Alojamiento",1
5109,"Alojamiento",1
5109,"Turismo",1
