"rgn_id","value","resilience_score"
"05602",0,0
"10202",4,0.0310077519379845
"02101",3,0.0232558139534884
"08202",0,0
"15101",0,0
"11201",0,0
"12201",0,0
"10102",17,0.131782945736434
"03102",129,1
"15102",0,0
"04202",1,0.00775193798449612
"08203",0,0
"09102",6,0.0465116279069767
"05603",0,0
"05102",0,0
"10201",0,0
"10401",0,0
"03201",0,0
"07202",0,0
"10203",0,0
"11202",0,0
"16202",0,0
"10103",0,0
"16203",0,0
"05103",0,0
"07102",0,0
"03101",1,0.00775193798449612
"04102",21,0.162790697674419
"08102",0,0
"14102",1,0.00775193798449612
"10204",0,0
"07103",0,0
"10205",0,0
"05604",0,0
"05605",9,0.0697674418604651
"03303",0,0
"10104",0,0
"11203",0,0
"10403",6,0.0465116279069767
"08112",0,0
"01404",0,0
"03304",0,0
"01101",0,0
"05201",0,0
"05104",0,0
"04104",0,0
"05401",0,0
"04101",0,0
"14201",0,0
"12102",0,0
"08201",0,0
"07303",0,0
"06203",0,0
"08206",0,0
"10106",0,0
"04203",0,0
"08106",0,0
"14106",0,0
"10108",0,0
"02102",24,0.186046511627907
"12401",0,0
"06205",0,0
"04301",0,0
"05403",0,0
"06206",0,0
"07203",3,0.0232558139534884
"08107",0,0
"06201",3,0.0232558139534884
"12301",0,0
"12302",0,0
"05105",0,0
"10101",3,0.0232558139534884
"10109",0,0
"12101",0,0
"10206",0,0
"10303",0,0
"10207",0,0
"10208",0,0
"10209",0,0
"10210",0,0
"05107",0,0
"10305",0,0
"12103",0,0
"09116",0,0
"05601",0,0
"12104",0,0
"10306",0,0
"08108",0,0
"05606",0,0
"08110",0,0
"02104",0,0
"09117",0,0
"12303",0,0
"08207",0,0
"02301",0,0
"09118",0,0
"08111",0,0
"12402",0,0
"11303",0,0
"16207",0,0
"14101",5,0.0387596899224806
"05101",1,0.00775193798449612
"07309",0,0
"05109",0,0
"05405",0,0
