"rgn_id","score","dimension","goal"
1101,-0.0948717948717949,"trend","SPP"
1404,-0.0192307692307692,"trend","SPP"
2101,-0.095,"trend","SPP"
2102,-0.0984042553191489,"trend","SPP"
2104,-0.0827067669172932,"trend","SPP"
2301,-0.0854700854700855,"trend","SPP"
3101,-0.108695652173913,"trend","SPP"
3102,-0.11244019138756,"trend","SPP"
3201,-0.087378640776699,"trend","SPP"
3303,-0.0774647887323944,"trend","SPP"
3304,-0.0899470899470899,"trend","SPP"
4101,-0.128205128205128,"trend","SPP"
4102,-0.118320610687023,"trend","SPP"
4104,-0.100478468899522,"trend","SPP"
4202,-0.118918918918919,"trend","SPP"
4203,-0.121287128712871,"trend","SPP"
4301,-0.0780141843971631,"trend","SPP"
5101,-0.1025,"trend","SPP"
5102,-0.08203125,"trend","SPP"
5103,-0.108374384236453,"trend","SPP"
5104,-0.0892857142857143,"trend","SPP"
5105,-0.119718309859155,"trend","SPP"
5107,-0.131799163179916,"trend","SPP"
5109,-0.115384615384615,"trend","SPP"
5201,-0.180555555555556,"trend","SPP"
5401,-0.0923913043478261,"trend","SPP"
5403,-0.0972972972972973,"trend","SPP"
5405,-0.1225,"trend","SPP"
5601,-0.0923913043478261,"trend","SPP"
5602,-0.116591928251121,"trend","SPP"
5603,-0.117154811715481,"trend","SPP"
5604,-0.0666666666666667,"trend","SPP"
5605,-0.0880829015544041,"trend","SPP"
5606,-0.120408163265306,"trend","SPP"
6201,-0.0944444444444444,"trend","SPP"
6203,-0.0546875,"trend","SPP"
6205,-0.0772357723577236,"trend","SPP"
6206,-0.104166666666667,"trend","SPP"
7102,-0.10880829015544,"trend","SPP"
7103,-0.0838926174496644,"trend","SPP"
7202,-0.108870967741935,"trend","SPP"
7203,-0.0887096774193548,"trend","SPP"
7303,-0.0933333333333333,"trend","SPP"
7309,-0.0714285714285714,"trend","SPP"
8102,-0.100806451612903,"trend","SPP"
8106,-0.0595238095238095,"trend","SPP"
8107,-0.0740740740740741,"trend","SPP"
8108,-0.0327868852459016,"trend","SPP"
8110,-0.107655502392345,"trend","SPP"
8111,-0.0772058823529412,"trend","SPP"
8112,-0.105263157894737,"trend","SPP"
8201,-0.113333333333333,"trend","SPP"
8202,-0.0748299319727891,"trend","SPP"
8203,-0.0714285714285714,"trend","SPP"
8207,-0.0817307692307692,"trend","SPP"
9102,-0.08,"trend","SPP"
9116,-0.0992647058823529,"trend","SPP"
9117,-0.0443037974683544,"trend","SPP"
9118,-0.0876288659793814,"trend","SPP"
10101,-0.111842105263158,"trend","SPP"
10102,-0.106951871657754,"trend","SPP"
10103,-0.0742574257425743,"trend","SPP"
10104,-0.0576923076923077,"trend","SPP"
10106,-0.1,"trend","SPP"
10108,-0.128787878787879,"trend","SPP"
10109,-0.0609756097560976,"trend","SPP"
10201,-0.116751269035533,"trend","SPP"
10202,-0.133474576271186,"trend","SPP"
10203,-0.104395604395604,"trend","SPP"
10204,-0.0789473684210526,"trend","SPP"
10205,-0.125,"trend","SPP"
10206,-0.0914634146341463,"trend","SPP"
10207,-0.128099173553719,"trend","SPP"
10208,-0.131901840490798,"trend","SPP"
10209,-0.0833333333333333,"trend","SPP"
10210,-0.0921052631578947,"trend","SPP"
10303,-0.0487804878048781,"trend","SPP"
10305,-0.0948275862068965,"trend","SPP"
10306,-0.0842696629213483,"trend","SPP"
10401,-0.116402116402116,"trend","SPP"
10403,-0.0958549222797927,"trend","SPP"
11201,-0.0851851851851852,"trend","SPP"
11202,-0.0945121951219512,"trend","SPP"
11203,-0.05,"trend","SPP"
11303,-0.0952380952380952,"trend","SPP"
12101,-0.115808823529412,"trend","SPP"
12102,-0.0625,"trend","SPP"
12103,-0.1125,"trend","SPP"
12104,-0.1,"trend","SPP"
12201,-0.0942028985507246,"trend","SPP"
12301,-0.103260869565217,"trend","SPP"
12302,-0.0933333333333333,"trend","SPP"
12303,-0.0681818181818182,"trend","SPP"
12401,-0.104838709677419,"trend","SPP"
12402,-0.0921052631578947,"trend","SPP"
14101,-0.0805555555555556,"trend","SPP"
14102,-0.0828220858895705,"trend","SPP"
14106,-0.0970149253731343,"trend","SPP"
14201,-0.0588235294117647,"trend","SPP"
15101,-0.103703703703704,"trend","SPP"
15102,-0.082089552238806,"trend","SPP"
16202,-0.0638297872340425,"trend","SPP"
16203,-0.0944444444444444,"trend","SPP"
16207,-0.0486725663716814,"trend","SPP"
