"rgn_id","Spp","year","catch"
1101,"ACHA O HACHA",2002,0.026
1101,"ACHA O HACHA",2003,0.012
1101,"ACHA O HACHA",2005,0.011
1101,"ACHA O HACHA",2006,0.05
1101,"ACHA O HACHA",2007,0.044
1101,"ACHA O HACHA",2009,0.006
1101,"ACHA O HACHA",2010,0.014
1101,"ACHA O HACHA",2012,0.144
1101,"ACHA O HACHA",2013,0.008
1101,"ACHA O HACHA",2014,0.021
1101,"ACHA O HACHA",2015,0.067
1101,"ACHA O HACHA",2017,0.156
1101,"ACHA O HACHA",2018,0.162
1101,"ACHA O HACHA",2019,0.041
1101,"ACHA O HACHA",2020,0.065
1101,"ACHA O HACHA",2023,0.04
1101,"ACHA O HACHA",2024,0.015
1101,"AGUJILLA",2002,5
1101,"AGUJILLA",2003,22
1101,"AGUJILLA",2011,6.223
1101,"AGUJILLA",2016,4.117
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2002,0.668
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2003,1.433
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2004,13.602
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2005,18.61
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2006,14.088
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2007,359.303
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2008,567.981
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2009,757.623
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2010,922.462
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2011,341.913
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2012,395.006
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2013,470.814
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2014,744.002
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2015,673.042
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2016,322.049
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2017,142.181
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2018,175.861
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2019,711.11
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2020,540.353
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2021,246.231
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2022,199.461
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2023,200.229
1101,"ALBACORA O PEZ ESPADA / IVI HEHEU",2024,1166.59
1101,"ALMEJA",2000,13
1101,"ALMEJA",2001,119
1101,"ALMEJA",2002,35.755
1101,"ALMEJA",2003,154.042
1101,"ALMEJA",2004,213.612
1101,"ALMEJA",2005,83.985
1101,"ALMEJA",2006,83.965
1101,"ALMEJA",2007,9.766
1101,"ALMEJA",2009,40.632
