"rgn_id","estado","fecha","resilience_score"
"01101","Vigente",2025,1
"01404","Vigente",1966,1
"02101","Vigente",2002,1
"02102","Vigente",2000,1
"02104","Vigente",2001,1
"02301","Vigente",2001,1
"03101","Vigente",2002,1
"03102","Vigente",2010,1
"03201","Vigente",2005,1
"03303","Vigente",2009,1
"03304","Vigente",2021,1
"04101","Vigente",2020,1
"04102","Vigente",2026,1
"04104","Vigente",2020,1
"04202","En Desarrollo",2023,0.5
"04203","Vigente",1986,1
"04301","Vigente",2016,1
"05101","Vigente",1984,1
"05102","Vigente",2020,1
"05103","Vigente",2017,1
"05104","Vigente",2002,1
"05105","Vigente",2009,1
"05107","Vigente",1984,1
"05109","Vigente",2002,1
"05201","Vigente",2026,1
"05401","Vigente",1980,1
"05403","Vigente",2023,1
"05405","Vigente",1999,1
"05601","Vigente",2006,1
"05602","Vigente",1998,1
"05603","Vigente",1995,1
"05604","Vigente",2025,1
"05605","Vigente",2005,1
"05606","Vigente",2003,1
"06201","Vigente",2005,1
"06203","Vigente",2010,1
"06205","Vigente",2009,1
"06206","Vigente",2014,1
"07102","Vigente",1988,1
"07103","Vigente",2016,1
"07203","Vigente",2012,1
"07309","Vigente",1967,1
"08102","Vigente",2013,1
"08106","Vigente",1983,1
"08107","Vigente",2007,1
"08108","Vigente",2011,1
"08110","Vigente",2006,1
"08111","Vigente",2008,1
"08112","Vigente",2023,1
"08201","Vigente",2009,1
"08202","Vigente",1988,1
"08203","Vigente",2009,1
"08206","Vigente",2008,1
"08207","Vigente",2012,1
"09102","Vigente",1989,1
"09116","Vigente",1964,1
"09117","Desistido",NA,0
"09118","Vigente",2026,1
"10101","Vigente",2009,1
"10102","Vigente",2006,1
"10103","En Desarrollo",2020,0.5
"10104","Vigente",2004,1
"10108","Vigente",2022,1
"10109","Vigente",2025,1
"10201","Vigente",2007,1
"10202","Vigente",1996,1
"10203","Vigente",1999,1
"10204","En Desarrollo",2024,0.5
"10207","Vigente",1997,1
"10208","Vigente",2005,1
"10209","En Desarrollo",2020,0.5
"10210","Vigente",1999,1
"10303","Vigente",1968,1
"10305","Vigente",1966,1
"10401","En Desarrollo",2023,0.5
"10403","En Desarrollo",2022,0.5
"11201","Vigente",2001,1
"11202","Vigente",1992,1
"11203","En Desarrollo",2013,0.5
"12101","Vigente",2016,1
"12102","Desistido",NA,0
"12104","Vigente",2000,1
"12201","Vigente",1988,1
"12301","Vigente",2002,1
"12302","En Desarrollo",2018,0.5
"12303","En Desarrollo",2024,0.5
"12401","Vigente",1987,1
"14101","Vigente",1988,1
"14102","Vigente",1997,1
"14106","En Desarrollo",2018,0.5
"14201","Vigente",2003,1
"15101","Vigente",2009,1
"16202","Vigente",2001,1
"16203","Vigente",2010,1
"16207",NA,NA,0
"11303",NA,NA,0
"12402",NA,NA,0
"10306",NA,NA,0
"12103",NA,NA,0
"10206",NA,NA,0
"10106",NA,NA,0
"07303",NA,NA,0
"10205",NA,NA,0
"07202",NA,NA,0
"15102",NA,NA,0
