"rgn_id","fase","resilience_score"
"05405",NA,0
"05109",2,0.333333333333333
"07309",3,0.5
"05101",1,0.166666666666667
"14101",6,1
"16207",NA,0
"11303",4,0.666666666666667
"12402",5,0.833333333333333
"08111",NA,0
"09118",NA,0
"02301",NA,0
"08207",NA,0
"12303",NA,0
"09117",6,1
"02104",1,0.166666666666667
"08110",6,1
"05606",6,1
"08108",6,1
"10306",NA,0
"12104",NA,0
"05601",6,1
"09116",5,0.833333333333333
"12103",1,0.166666666666667
"10305",2,0.333333333333333
"05107",NA,0
"10210",NA,0
"10209",NA,0
"10208",NA,0
"10207",NA,0
"10303",NA,0
"10206",3,0.5
"12101",3,0.5
"10109",1,0.166666666666667
"10101",4,0.666666666666667
"05105",NA,0
"12302",NA,0
"12301",NA,0
"06201",3,0.5
"08107",NA,0
"07203",3,0.5
"06206",3,0.5
"05403",3,0.5
"04301",3,0.5
"06205",NA,0
"12401",5,0.833333333333333
"02102",1,0.166666666666667
"10108",NA,0
"14106",4,0.666666666666667
"08106",NA,0
"04203",1,0.166666666666667
"10106",NA,0
"08206",4,0.666666666666667
"06203",3,0.5
"07303",3,0.5
"08201",4,0.666666666666667
"12102",NA,0
"14201",5,0.833333333333333
"04101",5,0.833333333333333
"05401",4,0.666666666666667
"04104",2,0.333333333333333
"05104",3,0.5
"05201",NA,0
"01101",NA,0
"03304",6,1
"01404",NA,0
"08112",6,1
"10403",NA,0
"11203",1,0.166666666666667
"10104",2,0.333333333333333
"03303",NA,0
"05605",2,0.333333333333333
"05604",6,1
"10205",NA,0
"07103",4,0.666666666666667
"10204",NA,0
"14102",NA,0
"08102",4,0.666666666666667
"04102",6,1
"03101",5,0.833333333333333
"07102",6,1
"05103",2,0.333333333333333
"16203",NA,0
"10103",NA,0
"16202",3,0.5
"11202",NA,0
"10203",2,0.333333333333333
"07202",NA,0
"03201",4,0.666666666666667
"10401",NA,0
"10201",3,0.5
"05102",3,0.5
"05603",5,0.833333333333333
"09102",NA,0
"08203",6,1
"04202",4,0.666666666666667
"15102",NA,0
"03102",NA,0
"10102",3,0.5
"12201",1,0.166666666666667
"11201",3,0.5
"15101",4,0.666666666666667
"08202",NA,0
"02101",NA,0
"10202",4,0.666666666666667
"05602",5,0.833333333333333
